Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:28.186000,PER,11,0 days 00:01:37.257000,1.0,1.0,,,,0 days 00:00:29.964000,0 days 00:00:30.233000,,0 days 01:03:57.990000,0 days 01:04:28.240000,285.0,302.0,295.0,303.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:02:50.632000,2023-03-19 17:03:50.718,1,2.0,False,,False,False
0 days 01:06:04.092000,PER,11,0 days 00:01:35.906000,2.0,1.0,,,0 days 00:00:35.785000,0 days 00:00:29.903000,0 days 00:00:30.218000,0 days 01:05:03.971000,0 days 01:05:33.874000,0 days 01:06:04.092000,287.0,296.0,294.0,316.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:04:28.186000,2023-03-19 17:05:28.272,1,2.0,False,,False,True
0 days 01:07:38.921000,PER,11,0 days 00:01:34.829000,3.0,1.0,,,0 days 00:00:35.340000,0 days 00:00:29.825000,0 days 00:00:29.664000,0 days 01:06:39.432000,0 days 01:07:09.257000,0 days 01:07:38.921000,,306.0,307.0,334.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:06:04.092000,2023-03-19 17:07:04.178,1,2.0,False,,False,True
0 days 01:09:14.572000,PER,11,0 days 00:01:35.651000,4.0,1.0,,,0 days 00:00:35.484000,0 days 00:00:30.147000,0 days 00:00:30.020000,0 days 01:08:14.405000,0 days 01:08:44.552000,0 days 01:09:14.572000,285.0,300.0,291.0,307.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 01:07:38.921000,2023-03-19 17:08:39.007,1,1.0,False,,False,True
0 days 01:10:49.445000,PER,11,0 days 00:01:34.873000,5.0,1.0,,,0 days 00:00:35.024000,0 days 00:00:29.903000,0 days 00:00:29.946000,0 days 01:09:49.596000,0 days 01:10:19.499000,0 days 01:10:49.445000,284.0,303.0,291.0,312.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:09:14.572000,2023-03-19 17:10:14.658,1,1.0,False,,False,True
0 days 01:12:24.066000,PER,11,0 days 00:01:34.621000,6.0,1.0,,,0 days 00:00:34.934000,0 days 00:00:29.815000,0 days 00:00:29.872000,0 days 01:11:24.379000,0 days 01:11:54.194000,0 days 01:12:24.066000,281.0,302.0,291.0,310.0,True,MEDIUM,6.0,True,Red Bull Racing,0 days 01:10:49.445000,2023-03-19 17:11:49.531,1,1.0,False,,False,True
0 days 01:13:58.343000,PER,11,0 days 00:01:34.277000,7.0,1.0,,,0 days 00:00:34.729000,0 days 00:00:29.780000,0 days 00:00:29.768000,0 days 01:12:58.795000,0 days 01:13:28.575000,0 days 01:13:58.343000,283.0,303.0,291.0,311.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:12:24.066000,2023-03-19 17:13:24.152,1,1.0,False,,False,True
0 days 01:15:32.820000,PER,11,0 days 00:01:34.477000,8.0,1.0,,,0 days 00:00:34.767000,0 days 00:00:29.802000,0 days 00:00:29.908000,0 days 01:14:33.110000,0 days 01:15:02.912000,0 days 01:15:32.820000,281.0,301.0,293.0,307.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 01:13:58.343000,2023-03-19 17:14:58.429,1,1.0,False,,False,True
0 days 01:17:07.075000,PER,11,0 days 00:01:34.255000,9.0,1.0,,,0 days 00:00:34.621000,0 days 00:00:29.735000,0 days 00:00:29.899000,0 days 01:16:07.441000,0 days 01:16:37.176000,0 days 01:17:07.075000,284.0,303.0,293.0,311.0,True,MEDIUM,9.0,True,Red Bull Racing,0 days 01:15:32.820000,2023-03-19 17:16:32.906,1,1.0,False,,False,True
0 days 01:18:41.181000,PER,11,0 days 00:01:34.106000,10.0,1.0,,,0 days 00:00:34.580000,0 days 00:00:29.708000,0 days 00:00:29.818000,0 days 01:17:41.655000,0 days 01:18:11.363000,0 days 01:18:41.181000,286.0,302.0,294.0,308.0,True,MEDIUM,10.0,True,Red Bull Racing,0 days 01:17:07.075000,2023-03-19 17:18:07.161,1,1.0,False,,False,True
