Unnamed: 0,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad,driver,race_number
37,97650,38.0,24733,29395,43522,0,19.0,1,1.0,0,0,0,32550.0,0,0,1,0,0,1,0,0,0,0,1,HAM,7
38,97458,39.0,24805,29309,43344,1,20.0,1,1.0,0,0,0,32486.0,0,0,1,0,0,1,0,0,0,0,1,HAM,7
39,98182,40.0,24871,29367,43944,0,21.0,1,1.0,0,0,0,32727.33333333333,0,0,1,0,0,1,0,0,0,0,1,HAM,7
40,97685,41.0,24831,29391,43463,0,22.0,1,1.0,0,0,0,32561.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,7
41,97818,42.0,24807,29450,43561,0,23.0,1,1.0,0,0,0,32606.0,0,0,1,0,0,1,0,0,0,0,1,HAM,7
42,97640,43.0,24836,29409,43395,0,24.0,1,1.0,0,0,0,32546.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,7
43,97410,44.0,24779,29346,43285,1,25.0,1,1.0,0,0,0,32470.0,0,0,1,0,0,1,0,0,0,0,1,HAM,7
44,97542,45.0,25151,29359,43032,0,26.0,1,1.0,0,0,0,32514.0,0,0,1,0,0,1,0,0,0,0,1,HAM,7
45,97545,46.0,24781,29470,43294,0,27.0,1,1.0,0,0,0,32515.0,0,0,1,0,0,1,0,0,0,0,1,HAM,7
46,98431,47.0,24704,29365,44362,0,28.0,1,1.0,0,0,0,32810.333333333336,0,0,1,0,0,1,0,0,0,0,1,HAM,7
47,98089,48.0,25189,29454,43446,0,29.0,1,1.0,0,0,0,32696.33333333333,0,0,1,0,0,1,0,0,0,0,1,HAM,7
48,98189,49.0,25439,29541,43209,0,30.0,1,1.0,0,0,0,32729.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,7
49,97946,50.0,24718,29658,43570,0,31.0,1,1.0,0,0,0,32648.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,7
50,98242,51.0,24886,29606,43750,0,32.0,1,1.0,0,0,0,32747.33333333333,0,0,1,0,0,1,0,0,0,0,1,HAM,7
51,98735,52.0,24969,30137,43629,0,33.0,1,2.0,0,0,0,32911.666666666664,0,1,0,0,0,1,0,0,0,0,1,HAM,7
52,99041,53.0,25098,29728,44215,0,34.0,1,2.0,0,0,0,33013.666666666664,0,0,1,0,0,1,0,0,0,0,1,HAM,7
0,106833,1.0,32343,29633,44857,0,4.0,0,3.0,0,0,0,35611.0,0,0,1,0,1,0,0,0,1,0,0,BOT,7
1,100188,2.0,25524,29628,45036,1,5.0,0,3.0,0,0,0,33396.0,0,0,1,0,1,0,0,0,1,0,0,BOT,7
2,99822,3.0,25637,29862,44323,1,6.0,0,3.0,0,0,0,33274.0,0,0,1,0,1,0,0,0,1,0,0,BOT,7
3,99889,4.0,25414,29797,44678,0,7.0,0,3.0,0,0,0,33296.333333333336,0,0,1,0,1,0,0,0,1,0,0,BOT,7
4,99293,5.0,25341,29670,44282,1,8.0,0,3.0,0,0,0,33097.666666666664,0,0,1,0,1,0,0,0,1,0,0,BOT,7
5,98604,6.0,25193,29324,44087,1,9.0,0,3.0,0,0,0,32868.0,0,0,1,0,1,0,0,0,1,0,0,BOT,7
6,99510,7.0,25310,29490,44710,0,10.0,0,3.0,0,0,0,33170.0,0,0,1,0,1,0,0,0,1,0,0,BOT,7
7,99229,8.0,25450,29533,44246,0,11.0,0,3.0,0,0,0,33076.333333333336,0,0,1,0,1,0,0,0,1,0,0,BOT,7
8,99264,9.0,25283,29477,44504,0,12.0,0,3.0,0,0,0,33088.0,0,0,1,0,1,0,0,0,1,0,0,BOT,7
9,99018,10.0,25251,29306,44461,0,13.0,0,3.0,0,0,0,33006.0,0,0,1,0,1,0,0,0,1,0,0,BOT,7
10,99290,11.0,25407,29479,44404,0,14.0,0,3.0,0,0,0,33096.666666666664,0,0,1,0,1,0,0,0,1,0,0,BOT,7
11,100266,12.0,26042,29947,44277,0,15.0,0,3.0,0,0,0,33422.0,0,0,1,0,1,0,0,0,1,0,0,BOT,7
12,99473,13.0,25482,29583,44408,0,16.0,0,3.0,0,0,0,33157.666666666664,0,0,1,0,1,0,0,0,1,0,0,BOT,7
13,99406,14.0,25308,29550,44548,0,17.0,0,3.0,0,0,0,33135.333333333336,0,0,1,0,1,0,0,0,1,0,0,BOT,7
14,99864,15.0,25362,29650,44852,0,18.0,0,3.0,0,0,0,33288.0,0,0,1,0,1,0,0,0,1,0,0,BOT,7
15,99239,16.0,25141,29503,44595,0,19.0,0,3.0,0,0,0,33079.666666666664,0,0,1,0,1,0,0,0,1,0,0,BOT,7
16,119129,17.0,25279,29671,64179,0,20.0,0,4.0,0,1,0,39709.66666666666,0,1,0,0,1,0,0,0,1,0,0,BOT,7
17,100235,18.0,28329,29007,42899,0,1.0,1,4.0,0,0,1,33411.666666666664,0,0,1,0,0,1,0,0,1,0,0,BOT,7
18,96960,19.0,24640,29056,43264,1,2.0,1,4.0,0,0,0,32320.0,0,0,1,0,0,1,0,0,0,1,0,BOT,7
19,97488,20.0,24946,28915,43627,0,3.0,1,4.0,0,0,0,32496.0,0,0,1,0,0,1,0,0,0,1,0,BOT,7
20,97514,21.0,25102,28969,43443,0,4.0,1,4.0,0,0,0,32504.666666666668,0,0,1,0,0,1,0,0,0,1,0,BOT,7
21,97377,22.0,24951,28805,43621,0,5.0,1,4.0,0,0,0,32459.0,0,0,1,0,0,1,0,0,0,1,0,BOT,7
22,97922,23.0,25132,28981,43809,0,6.0,1,4.0,0,0,0,32640.666666666668,0,0,1,0,0,1,0,0,0,1,0,BOT,7
23,97642,24.0,25114,28966,43562,0,7.0,1,3.0,0,0,0,32547.33333333333,1,0,0,0,0,1,0,0,0,1,0,BOT,7
24,97799,25.0,25079,29159,43561,0,8.0,1,3.0,0,0,0,32599.666666666668,0,0,1,0,0,1,0,0,0,1,0,BOT,7
25,99013,26.0,25842,29308,43863,0,9.0,1,3.0,0,0,0,33004.333333333336,0,0,1,0,0,1,0,0,0,1,0,BOT,7
26,98071,27.0,24975,29182,43914,0,10.0,1,3.0,0,0,0,32690.33333333333,0,0,1,0,0,1,0,0,0,1,0,BOT,7
27,98291,28.0,24992,29357,43942,0,11.0,1,3.0,0,0,0,32763.666666666668,0,0,1,0,0,1,0,0,0,1,0,BOT,7
28,98629,29.0,25092,29412,44125,0,12.0,1,3.0,0,0,0,32876.333333333336,0,0,1,0,0,1,0,0,0,1,0,BOT,7
29,98713,30.0,25513,29507,43693,0,13.0,1,3.0,0,0,0,32904.333333333336,0,0,1,0,0,1,0,0,0,1,0,BOT,7
30,98982,31.0,25259,29725,43998,0,14.0,1,3.0,0,0,0,32994.0,0,0,1,0,0,1,0,0,0,1,0,BOT,7
31,98831,32.0,25185,29501,44145,0,15.0,1,2.0,0,0,0,32943.666666666664,1,0,0,0,0,1,0,0,0,1,0,BOT,7
32,98346,33.0,25057,29364,43925,0,16.0,1,2.0,0,0,0,32782.0,0,0,1,0,0,1,0,0,0,1,0,BOT,7
33,97702,34.0,24891,29130,43681,0,17.0,1,2.0,0,0,0,32567.33333333333,0,0,1,0,0,1,0,0,0,1,0,BOT,7
34,98392,35.0,25188,29416,43788,0,18.0,1,2.0,0,0,0,32797.333333333336,0,0,1,0,0,1,0,0,0,1,0,BOT,7
35,98111,36.0,24973,29410,43728,0,19.0,1,2.0,0,0,0,32703.666666666668,0,0,1,0,0,1,0,0,0,0,1,BOT,7
36,98188,37.0,24892,29657,43639,0,20.0,1,2.0,0,0,0,32729.33333333333,0,0,1,0,0,1,0,0,0,0,1,BOT,7
37,97862,38.0,25012,29397,43453,0,21.0,1,2.0,0,0,0,32620.666666666668,0,0,1,0,0,1,0,0,0,0,1,BOT,7
38,98016,39.0,24964,29261,43791,0,22.0,1,2.0,0,0,0,32672.0,0,0,1,0,0,1,0,0,0,0,1,BOT,7
39,98738,40.0,25483,29468,43787,0,23.0,1,2.0,0,0,0,32912.666666666664,0,0,1,0,0,1,0,0,0,0,1,BOT,7
40,98724,41.0,25323,29742,43659,0,24.0,1,2.0,0,0,0,32908.0,0,0,1,0,0,1,0,0,0,0,1,BOT,7
41,98247,42.0,25241,29445,43561,0,25.0,1,2.0,0,0,0,32749.0,0,0,1,0,0,1,0,0,0,0,1,BOT,7
42,97612,43.0,24872,29427,43313,0,26.0,1,2.0,0,0,0,32537.33333333333,0,0,1,0,0,1,0,0,0,0,1,BOT,7
43,99479,44.0,24816,30141,44522,0,27.0,1,3.0,0,0,0,33159.666666666664,0,1,0,0,0,1,0,0,0,0,1,BOT,7
44,99073,45.0,25264,30143,43666,0,28.0,1,3.0,0,0,0,33024.333333333336,0,0,1,0,0,1,0,0,0,0,1,BOT,7
45,98719,46.0,25162,29855,43702,0,29.0,1,3.0,0,0,0,32906.333333333336,0,0,1,0,0,1,0,0,0,0,1,BOT,7
46,97695,47.0,25014,29279,43402,0,30.0,1,3.0,0,0,0,32565.0,0,0,1,0,0,1,0,0,0,0,1,BOT,7
47,98768,48.0,25207,29720,43841,0,31.0,1,3.0,0,0,0,32922.666666666664,0,0,1,0,0,1,0,0,0,0,1,BOT,7
48,101084,49.0,25130,30340,45614,0,32.0,1,4.0,0,0,0,33694.666666666664,0,1,0,0,0,1,0,0,0,0,1,BOT,7
49,99226,50.0,25734,29560,43932,0,33.0,1,4.0,0,0,0,33075.333333333336,0,0,1,0,0,1,0,0,0,0,1,BOT,7
50,98322,51.0,25046,29634,43642,0,34.0,1,4.0,0,0,0,32774.0,0,0,1,0,0,1,0,0,0,0,1,BOT,7
51,98440,52.0,25268,29626,43546,0,35.0,1,4.0,0,0,0,32813.333333333336,0,0,1,0,0,1,0,0,0,0,1,BOT,7
52,97860,53.0,25057,29451,43352,0,36.0,1,4.0,0,0,0,32620.0,0,0,1,0,0,1,0,0,0,0,1,BOT,7
0,95234,1.0,36371,29642,29221,0,10.0,0,1.0,0,0,0,31744.666666666668,0,0,1,0,1,0,0,0,1,0,0,HAM,21
1,94020,2.0,34811,29851,29358,1,11.0,0,1.0,0,0,0,31340.0,0,0,1,0,1,0,0,0,1,0,0,HAM,21
2,93782,3.0,34647,29755,29380,1,12.0,0,1.0,0,0,0,31260.666666666668,0,0,1,0,1,0,0,0,1,0,0,HAM,21
3,93792,4.0,34661,29805,29326,0,13.0,0,1.0,0,0,0,31264.0,0,0,1,0,1,0,0,0,1,0,0,HAM,21
4,93397,5.0,34495,29674,29228,1,14.0,0,1.0,0,0,0,31132.33333333333,0,0,1,0,1,0,0,0,1,0,0,HAM,21
5,93260,6.0,34455,29639,29166,1,15.0,0,1.0,0,0,0,31086.666666666668,0,0,1,0,1,0,0,0,1,0,0,HAM,21
6,93720,7.0,34718,29782,29220,0,16.0,0,1.0,0,0,0,31240.0,0,0,1,0,1,0,0,0,1,0,0,HAM,21
7,93214,8.0,34516,29635,29063,1,17.0,0,1.0,0,0,0,31071.33333333333,0,0,1,0,1,0,0,0,1,0,0,HAM,21
8,93150,9.0,34304,29712,29134,1,18.0,0,1.0,0,0,0,31050.0,0,0,1,0,1,0,0,0,1,0,0,HAM,21
9,122043,10.0,40924,37885,43234,0,19.0,0,1.0,0,1,0,40681.0,0,0,1,0,1,0,0,0,1,0,0,HAM,21
10,0,11.0,65394,53437,61738,0,1.0,1,2.0,0,0,1,60189.66666666666,0,1,0,0,0,1,0,0,1,0,0,HAM,21
11,0,12.0,57606,53233,57226,0,2.0,1,2.0,0,0,0,56021.66666666666,0,0,1,0,0,1,0,0,1,0,0,HAM,21
12,0,13.0,53956,53149,68400,0,3.0,1,2.0,0,1,0,58501.66666666666,0,0,1,0,0,1,0,0,1,0,0,HAM,21
13,0,14.0,-129758,58848,70910,0,4.0,0,2.0,0,0,1,0.0,0,0,1,0,0,1,0,0,1,0,0,HAM,21
14,0,15.0,-111018,49282,61736,0,5.0,0,3.0,0,1,0,0.0,0,1,0,0,0,1,0,0,1,0,0,HAM,21
15,0,16.0,-145062,64275,80787,0,6.0,0,2.0,0,0,1,0.0,1,0,0,0,0,1,0,0,1,0,0,HAM,21
16,0,17.0,98881,29666,29000,0,7.0,0,3.0,0,0,0,52515.66666666666,0,1,0,0,0,1,0,0,1,0,0,HAM,21
17,93056,18.0,34708,29318,29030,1,8.0,0,2.0,0,0,0,31018.666666666668,1,0,0,0,0,1,0,0,0,1,0,HAM,21
18,92974,19.0,34571,29469,28934,1,9.0,0,2.0,0,0,0,30991.33333333333,0,0,1,0,0,1,0,0,0,1,0,HAM,21
19,92532,20.0,34277,29227,29028,1,10.0,0,2.0,0,0,0,30844.0,0,0,1,0,0,1,0,0,0,1,0,HAM,21
20,92130,21.0,34276,29135,28719,1,11.0,0,2.0,0,0,0,30710.0,0,0,1,0,0,1,0,0,0,1,0,HAM,21
21,92674,22.0,34712,29133,28829,0,12.0,0,2.0,0,0,0,30891.33333333333,0,0,1,0,0,1,0,0,0,1,0,HAM,21
22,100670,23.0,34281,29243,37146,0,13.0,0,2.0,0,0,0,33556.666666666664,0,0,1,0,0,1,0,0,0,1,0,HAM,21
23,116641,24.0,42705,42620,31316,0,14.0,0,2.0,0,0,0,38880.333333333336,0,0,1,0,0,1,0,0,0,1,0,HAM,21
24,91502,25.0,34058,28902,28542,1,15.0,0,2.0,0,0,0,30500.666666666668,0,0,1,0,0,1,0,0,0,1,0,HAM,21
25,91809,26.0,34331,29042,28436,0,16.0,0,2.0,0,0,0,30603.0,0,0,1,0,0,1,0,0,0,1,0,HAM,21
26,92669,27.0,34507,29392,28770,0,17.0,0,2.0,0,0,0,30889.666666666668,0,0,1,0,0,1,0,0,0,1,0,HAM,21
27,104229,28.0,44196,31511,28522,0,18.0,0,2.0,0,0,0,34743.0,0,0,1,0,0,1,0,0,0,1,0,HAM,21
28,103184,29.0,34557,29168,39459,0,19.0,0,2.0,0,0,0,34394.666666666664,0,0,1,0,0,1,0,0,0,1,0,HAM,21
29,127028,30.0,43806,42143,41079,0,20.0,0,2.0,0,0,0,42342.66666666666,0,0,1,0,0,1,0,0,0,1,0,HAM,21
30,127402,31.0,43496,42004,41902,0,21.0,0,2.0,0,0,0,42467.333333333336,0,0,1,0,0,1,0,0,0,1,0,HAM,21
31,126321,32.0,46376,38828,41117,0,22.0,0,2.0,0,0,0,42107.0,0,0,1,0,0,1,0,0,0,1,0,HAM,21
32,97237,33.0,39845,28982,28410,0,23.0,0,2.0,0,0,0,32412.33333333333,0,0,1,0,0,1,0,0,0,1,0,HAM,21
33,91411,34.0,33943,28970,28498,1,24.0,0,2.0,0,0,0,30470.33333333333,0,0,1,0,0,1,0,0,0,0,1,HAM,21
34,91199,35.0,33962,28900,28337,1,25.0,0,2.0,0,0,0,30399.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,21
35,103095,36.0,40472,34525,28098,0,26.0,0,2.0,0,0,0,34365.0,0,0,1,0,0,1,0,0,0,0,1,HAM,21
36,97056,37.0,35253,29015,32788,0,27.0,0,2.0,0,0,0,32352.0,0,0,1,0,0,1,0,0,0,0,1,HAM,21
37,92069,38.0,34578,28882,28609,0,28.0,0,2.0,0,0,0,30689.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,21
38,91549,39.0,34068,28987,28494,0,29.0,0,2.0,0,0,0,30516.33333333333,0,0,1,0,0,1,0,0,0,0,1,HAM,21
39,91536,40.0,34138,28897,28501,0,30.0,0,2.0,0,0,0,30512.0,0,0,1,0,0,1,0,0,0,0,1,HAM,21
40,91089,41.0,33742,28924,28423,1,31.0,0,2.0,0,0,0,30363.0,0,0,1,0,0,1,0,0,0,0,1,HAM,21
41,91964,42.0,33816,28712,29436,0,32.0,0,2.0,0,0,0,30654.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,21
42,91896,43.0,34265,28714,28917,0,33.0,0,1.0,0,0,0,30632.0,1,0,0,0,0,1,0,0,0,0,1,HAM,21
43,91338,44.0,33846,28863,28629,0,34.0,0,1.0,0,0,0,30446.0,0,0,1,0,0,1,0,0,0,0,1,HAM,21
44,90854,45.0,33593,28775,28486,1,35.0,0,1.0,0,0,0,30284.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,21
45,91610,46.0,34062,28999,28549,0,36.0,0,1.0,0,0,0,30536.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,21
46,90734,47.0,33564,28748,28422,1,37.0,0,1.0,0,0,0,30244.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,21
47,91588,48.0,34040,28874,28674,0,38.0,0,1.0,0,0,0,30529.33333333333,0,0,1,0,0,1,0,0,0,0,1,HAM,21
48,93707,49.0,34439,30006,29262,0,39.0,0,1.0,0,0,0,31235.666666666668,0,0,1,0,0,1,0,0,0,0,1,HAM,21
49,95604,50.0,35742,30163,29699,0,40.0,0,1.0,0,0,0,31868.0,0,0,1,0,0,1,0,0,0,0,1,HAM,21
0,96272,1.0,37116,29745,29411,0,8.0,0,2.0,0,0,0,32090.666666666668,0,0,1,0,1,0,0,0,1,0,0,BOT,21
1,94048,2.0,34885,29867,29296,1,9.0,0,2.0,0,0,0,31349.33333333333,0,0,1,0,1,0,0,0,1,0,0,BOT,21
2,94138,3.0,34972,29793,29373,0,10.0,0,2.0,0,0,0,31379.33333333333,0,0,1,0,1,0,0,0,1,0,0,BOT,21
3,93585,4.0,34739,29566,29280,1,11.0,0,2.0,0,0,0,31195.0,0,0,1,0,1,0,0,0,1,0,0,BOT,21
4,93676,5.0,34806,29694,29176,0,12.0,0,2.0,0,0,0,31225.33333333333,0,0,1,0,1,0,0,0,1,0,0,BOT,21
5,93465,6.0,34625,29590,29250,1,13.0,0,2.0,0,0,0,31155.0,0,0,1,0,1,0,0,0,1,0,0,BOT,21
6,93639,7.0,34732,29617,29290,0,14.0,0,2.0,0,0,0,31213.0,0,0,1,0,1,0,0,0,1,0,0,BOT,21
7,93655,8.0,34669,29732,29254,0,15.0,0,2.0,0,0,0,31218.33333333333,0,0,1,0,1,0,0,0,1,0,0,BOT,21
8,93701,9.0,34689,29726,29286,0,16.0,0,2.0,0,0,0,31233.666666666668,0,0,1,0,1,0,0,0,1,0,0,BOT,21
9,127440,10.0,40104,43253,44083,0,17.0,0,3.0,0,1,0,42480.0,0,1,0,0,1,0,0,0,1,0,0,BOT,21
10,0,11.0,60507,51186,62282,0,1.0,1,3.0,0,0,1,57991.66666666666,0,0,1,0,0,1,0,0,1,0,0,BOT,21
11,0,12.0,57511,53104,57157,0,2.0,1,3.0,0,0,0,55924.0,0,0,1,0,0,1,0,0,1,0,0,BOT,21
12,0,13.0,54367,52965,69605,0,3.0,1,3.0,0,1,0,58979.0,0,0,1,0,0,1,0,0,1,0,0,BOT,21
13,0,14.0,-130427,58994,71433,0,4.0,0,3.0,0,0,1,0.0,0,0,1,0,0,1,0,0,1,0,0,BOT,21
14,0,15.0,-114772,53070,61702,0,5.0,0,5.0,0,1,0,0.0,0,1,0,0,0,1,0,0,1,0,0,BOT,21
15,0,16.0,-150606,61987,88619,0,1.0,0,5.0,0,0,1,0.0,0,0,1,0,1,0,0,0,1,0,0,BOT,21
16,148734,17.0,89147,30014,29573,0,2.0,0,5.0,0,0,0,49578.0,0,0,1,0,1,0,0,0,1,0,0,BOT,21
17,94794,18.0,35733,29764,29297,0,3.0,0,5.0,0,0,0,31598.0,0,0,1,0,1,0,0,0,0,1,0,BOT,21
18,94141,19.0,35185,29637,29319,0,4.0,0,5.0,0,0,0,31380.33333333333,0,0,1,0,1,0,0,0,0,1,0,BOT,21
19,93489,20.0,34850,29489,29150,0,5.0,0,5.0,0,0,0,31163.0,0,0,1,0,1,0,0,0,0,1,0,BOT,21
