Unnamed: 0,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad,driver_1,driver_2,race_bit_0,race_bit_1,race_bit_2,race_bit_3,race_bit_4
14,95262,15.0,33995,42739,18528,0,18.0,0,3.0,0,0,0,31754.0,0,0,1,1,0,0,0,0,1,0,0,1.0,0.0,1,0,0,0,1
15,95597,16.0,34029,42991,18577,0,19.0,0,2.0,0,0,0,31865.666666666668,1,0,0,1,0,0,0,0,1,0,0,1.0,0.0,1,0,0,0,1
16,94707,17.0,33631,42735,18341,0,20.0,0,2.0,0,0,0,31569.0,0,0,1,1,0,0,0,0,1,0,0,1.0,0.0,1,0,0,0,1
17,94908,18.0,33899,42483,18526,0,21.0,0,1.0,0,0,0,31636.0,1,0,0,1,0,0,0,0,1,0,0,1.0,0.0,1,0,0,0,1
18,95223,19.0,33887,42615,18721,0,22.0,0,1.0,0,0,0,31741.0,0,0,1,1,0,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
19,95350,20.0,33935,42908,18507,0,23.0,0,1.0,0,0,0,31783.33333333333,0,0,1,1,0,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
20,98272,21.0,34054,43203,21015,0,24.0,0,2.0,0,1,0,32757.33333333333,0,1,0,1,0,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
21,113893,22.0,54205,41769,17919,0,1.0,1,3.0,0,0,1,37964.333333333336,0,1,0,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
22,92874,23.0,33188,41670,18016,1,2.0,1,3.0,0,0,0,30958.0,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
23,92763,24.0,33046,41724,17993,1,3.0,1,3.0,0,0,0,30921.0,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
24,93075,25.0,33192,41805,18078,0,4.0,1,3.0,0,0,0,31025.0,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
25,93175,26.0,33160,41837,18178,0,5.0,1,3.0,0,0,0,31058.33333333333,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
26,93028,27.0,33243,41630,18155,0,6.0,1,3.0,0,0,0,31009.33333333333,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
27,92824,28.0,33004,41657,18163,0,7.0,1,3.0,0,0,0,30941.33333333333,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
28,92800,29.0,32947,41667,18186,0,8.0,1,3.0,0,0,0,30933.33333333333,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
29,92738,30.0,32965,41649,18124,1,9.0,1,3.0,0,0,0,30912.666666666668,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
30,93025,31.0,32919,41898,18208,0,10.0,1,2.0,0,0,0,31008.33333333333,1,0,0,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
31,92513,32.0,32779,41603,18131,1,11.0,1,2.0,0,0,0,30837.666666666668,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
32,93065,33.0,32919,41966,18180,0,12.0,1,2.0,0,0,0,31021.666666666668,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
33,94503,34.0,33755,42245,18503,0,13.0,1,2.0,0,0,0,31501.0,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
34,93224,35.0,33197,41762,18265,0,14.0,1,2.0,0,0,0,31074.666666666668,0,0,1,0,1,0,0,0,0,1,0,1.0,0.0,1,0,0,0,1
35,92540,36.0,32770,41688,18082,0,15.0,1,2.0,0,0,0,30846.666666666668,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
36,92551,37.0,32798,41770,17983,0,16.0,1,1.0,0,0,0,30850.33333333333,1,0,0,0,1,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
37,92605,38.0,32787,41711,18107,0,17.0,1,1.0,0,0,0,30868.33333333333,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
38,92646,39.0,32910,41649,18087,0,18.0,1,1.0,0,0,0,30882.0,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
39,92841,40.0,32825,41859,18157,0,19.0,1,1.0,0,0,0,30947.0,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
40,93097,41.0,33042,41899,18156,0,20.0,1,1.0,0,0,0,31032.33333333333,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
41,95867,42.0,33176,42071,20620,0,21.0,1,1.0,0,1,0,31955.666666666668,0,0,1,0,1,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
42,112303,43.0,53158,41378,17767,0,9.0,0,3.0,0,0,1,37434.333333333336,0,1,0,1,0,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
43,91538,44.0,32429,41124,17985,1,10.0,0,3.0,0,0,0,30512.666666666668,0,0,1,1,0,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
44,90983,45.0,32080,41020,17883,1,11.0,0,3.0,0,0,0,30327.666666666668,0,0,1,1,0,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
45,91635,46.0,32366,41341,17927,0,12.0,0,3.0,0,0,0,30544.666666666668,0,0,1,1,0,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
46,92329,47.0,32728,41553,18048,0,13.0,0,3.0,0,0,0,30776.33333333333,0,0,1,1,0,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
47,93065,48.0,33329,41607,18129,0,14.0,0,3.0,0,0,0,31021.666666666668,0,0,1,1,0,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
48,93510,49.0,32992,42206,18312,0,15.0,0,3.0,0,0,0,31170.0,0,0,1,1,0,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
49,94357,50.0,33289,42310,18758,0,16.0,0,3.0,0,0,0,31452.33333333333,0,0,1,1,0,0,0,0,0,0,1,1.0,0.0,1,0,0,0,1
