Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:09:06.339000,HAM,44,0 days 00:01:48.599000,1.0,,,,,0 days 00:00:40.485000,0 days 00:00:27.220000,,0 days 00:08:39.577000,0 days 00:09:06.470000,293.0,249.0,244.0,310.0,False,nan,,True,Mercedes,0 days 00:07:17.544000,2018-07-08 13:13:17.555,21,17.0,False,,False,False
0 days 00:10:43.100000,HAM,44,0 days 00:01:36.761000,2.0,1.0,,,0 days 00:00:30.512000,0 days 00:00:40.434000,0 days 00:00:25.815000,0 days 00:09:36.851000,0 days 00:10:17.285000,0 days 00:10:43.100000,307.0,254.0,248.0,321.0,True,SOFT,5.0,False,Mercedes,0 days 00:09:06.339000,2018-07-08 13:15:06.350,12,15.0,False,,False,True
0 days 00:12:18.586000,HAM,44,0 days 00:01:35.486000,3.0,1.0,,,0 days 00:00:29.991000,0 days 00:00:39.057000,0 days 00:00:26.438000,0 days 00:11:13.091000,0 days 00:11:52.148000,0 days 00:12:18.586000,317.0,258.0,244.0,331.0,True,SOFT,6.0,False,Mercedes,0 days 00:10:43.100000,2018-07-08 13:16:43.111,12,14.0,False,,False,True
0 days 00:13:53.759000,HAM,44,0 days 00:01:35.173000,4.0,1.0,,,0 days 00:00:30.137000,0 days 00:00:38.677000,0 days 00:00:26.359000,0 days 00:12:48.723000,0 days 00:13:27.400000,0 days 00:13:53.759000,314.0,256.0,243.0,322.0,True,SOFT,7.0,False,Mercedes,0 days 00:12:18.586000,2018-07-08 13:18:18.597,1,13.0,False,,False,True
0 days 00:15:28.734000,HAM,44,0 days 00:01:34.975000,5.0,1.0,,,0 days 00:00:29.981000,0 days 00:00:39.248000,0 days 00:00:25.746000,0 days 00:14:23.740000,0 days 00:15:02.988000,0 days 00:15:28.734000,313.0,255.0,246.0,339.0,True,SOFT,8.0,False,Mercedes,0 days 00:13:53.759000,2018-07-08 13:19:53.770,1,11.0,False,,False,True
0 days 00:17:02.506000,HAM,44,0 days 00:01:33.772000,6.0,1.0,,,0 days 00:00:29.723000,0 days 00:00:38.265000,0 days 00:00:25.784000,0 days 00:15:58.457000,0 days 00:16:36.722000,0 days 00:17:02.506000,314.0,254.0,247.0,303.0,True,SOFT,9.0,False,Mercedes,0 days 00:15:28.734000,2018-07-08 13:21:28.745,1,10.0,False,,False,True
0 days 00:18:36.637000,HAM,44,0 days 00:01:34.131000,7.0,1.0,,,0 days 00:00:29.938000,0 days 00:00:38.653000,0 days 00:00:25.540000,0 days 00:17:32.444000,0 days 00:18:11.097000,0 days 00:18:36.637000,298.0,255.0,246.0,328.0,False,SOFT,10.0,False,Mercedes,0 days 00:17:02.506000,2018-07-08 13:23:02.517,1,9.0,False,,False,True
0 days 00:20:10.098000,HAM,44,0 days 00:01:33.461000,8.0,1.0,,,0 days 00:00:29.722000,0 days 00:00:38.451000,0 days 00:00:25.288000,0 days 00:19:06.359000,0 days 00:19:44.810000,0 days 00:20:10.098000,300.0,257.0,247.0,323.0,True,SOFT,11.0,False,Mercedes,0 days 00:18:36.637000,2018-07-08 13:24:36.648,1,8.0,False,,False,True
0 days 00:21:43.751000,HAM,44,0 days 00:01:33.653000,9.0,1.0,,,0 days 00:00:29.605000,0 days 00:00:38.655000,0 days 00:00:25.393000,0 days 00:20:39.703000,0 days 00:21:18.358000,0 days 00:21:43.751000,299.0,257.0,247.0,329.0,False,SOFT,12.0,False,Mercedes,0 days 00:20:10.098000,2018-07-08 13:26:10.109,1,7.0,False,,False,True
0 days 00:23:18.274000,HAM,44,0 days 00:01:34.523000,10.0,1.0,,,0 days 00:00:29.793000,0 days 00:00:39.268000,0 days 00:00:25.462000,0 days 00:22:13.544000,0 days 00:22:52.812000,0 days 00:23:18.274000,309.0,257.0,246.0,324.0,False,SOFT,13.0,False,Mercedes,0 days 00:21:43.751000,2018-07-08 13:27:43.762,1,6.0,False,,False,True
0 days 00:24:51.677000,HAM,44,0 days 00:01:33.403000,11.0,1.0,,,0 days 00:00:29.837000,0 days 00:00:38.125000,0 days 00:00:25.441000,0 days 00:23:48.111000,0 days 00:24:26.236000,0 days 00:24:51.677000,291.0,257.0,247.0,302.0,True,SOFT,14.0,False,Mercedes,0 days 00:23:18.274000,2018-07-08 13:29:18.285,1,6.0,False,,False,True
0 days 00:26:24.791000,HAM,44,0 days 00:01:33.114000,12.0,1.0,,,0 days 00:00:29.748000,0 days 00:00:37.875000,0 days 00:00:25.491000,0 days 00:25:21.425000,0 days 00:25:59.300000,0 days 00:26:24.791000,292.0,255.0,245.0,309.0,True,SOFT,15.0,False,Mercedes,0 days 00:24:51.677000,2018-07-08 13:30:51.688,1,6.0,False,,False,True
0 days 00:27:59.024000,HAM,44,0 days 00:01:34.233000,13.0,1.0,,,0 days 00:00:29.897000,0 days 00:00:38.657000,0 days 00:00:25.679000,0 days 00:26:54.688000,0 days 00:27:33.345000,0 days 00:27:59.024000,290.0,249.0,246.0,307.0,False,SOFT,16.0,False,Mercedes,0 days 00:26:24.791000,2018-07-08 13:32:24.802,1,6.0,False,,False,True
0 days 00:29:32.755000,HAM,44,0 days 00:01:33.731000,14.0,1.0,,,0 days 00:00:29.904000,0 days 00:00:38.281000,0 days 00:00:25.546000,0 days 00:28:28.928000,0 days 00:29:07.209000,0 days 00:29:32.755000,293.0,255.0,246.0,312.0,False,SOFT,17.0,False,Mercedes,0 days 00:27:59.024000,2018-07-08 13:33:59.035,1,5.0,False,,False,True
0 days 00:31:06.465000,HAM,44,0 days 00:01:33.710000,15.0,1.0,,,0 days 00:00:29.960000,0 days 00:00:38.179000,0 days 00:00:25.571000,0 days 00:30:02.715000,0 days 00:30:40.894000,0 days 00:31:06.465000,292.0,256.0,246.0,308.0,False,SOFT,18.0,False,Mercedes,0 days 00:29:32.755000,2018-07-08 13:35:32.766,1,5.0,False,,False,True
0 days 00:32:39.752000,HAM,44,0 days 00:01:33.287000,16.0,1.0,,,0 days 00:00:29.734000,0 days 00:00:37.967000,0 days 00:00:25.586000,0 days 00:31:36.199000,0 days 00:32:14.166000,0 days 00:32:39.752000,294.0,255.0,246.0,309.0,False,SOFT,19.0,False,Mercedes,0 days 00:31:06.465000,2018-07-08 13:37:06.476,1,5.0,False,,False,True
0 days 00:34:13.283000,HAM,44,0 days 00:01:33.531000,17.0,1.0,,,0 days 00:00:30.017000,0 days 00:00:37.965000,0 days 00:00:25.549000,0 days 00:33:09.769000,0 days 00:33:47.734000,0 days 00:34:13.283000,290.0,257.0,247.0,305.0,False,SOFT,20.0,False,Mercedes,0 days 00:32:39.752000,2018-07-08 13:38:39.763,1,5.0,False,,False,True
0 days 00:35:46.213000,HAM,44,0 days 00:01:32.930000,18.0,1.0,,,0 days 00:00:29.753000,0 days 00:00:37.791000,0 days 00:00:25.386000,0 days 00:34:43.036000,0 days 00:35:20.827000,0 days 00:35:46.213000,294.0,257.0,248.0,309.0,True,SOFT,21.0,False,Mercedes,0 days 00:34:13.283000,2018-07-08 13:40:13.294,1,4.0,False,,False,True
0 days 00:37:19.034000,HAM,44,0 days 00:01:32.821000,19.0,1.0,,,0 days 00:00:29.631000,0 days 00:00:37.796000,0 days 00:00:25.394000,0 days 00:36:15.844000,0 days 00:36:53.640000,0 days 00:37:19.034000,295.0,257.0,247.0,311.0,True,SOFT,22.0,False,Mercedes,0 days 00:35:46.213000,2018-07-08 13:41:46.224,12,3.0,False,,False,True
0 days 00:38:52.188000,HAM,44,0 days 00:01:33.154000,20.0,1.0,,,0 days 00:00:29.881000,0 days 00:00:37.808000,0 days 00:00:25.465000,0 days 00:37:48.915000,0 days 00:38:26.723000,0 days 00:38:52.188000,294.0,256.0,248.0,309.0,False,SOFT,23.0,False,Mercedes,0 days 00:37:19.034000,2018-07-08 13:43:19.045,12,3.0,False,,False,True
0 days 00:40:25.929000,HAM,44,0 days 00:01:33.741000,21.0,1.0,,,0 days 00:00:30.097000,0 days 00:00:38.121000,0 days 00:00:25.523000,0 days 00:39:22.285000,0 days 00:40:00.406000,0 days 00:40:25.929000,297.0,254.0,247.0,312.0,False,SOFT,24.0,False,Mercedes,0 days 00:38:52.188000,2018-07-08 13:44:52.199,21,3.0,False,,False,True
0 days 00:41:59.842000,HAM,44,0 days 00:01:33.913000,22.0,1.0,,,0 days 00:00:29.953000,0 days 00:00:38.161000,0 days 00:00:25.799000,0 days 00:40:55.882000,0 days 00:41:34.043000,0 days 00:41:59.842000,291.0,255.0,247.0,302.0,False,SOFT,25.0,False,Mercedes,0 days 00:40:25.929000,2018-07-08 13:46:25.940,1,2.0,False,,False,True
0 days 00:43:35.067000,HAM,44,0 days 00:01:35.225000,23.0,1.0,,,0 days 00:00:30.003000,0 days 00:00:39.415000,0 days 00:00:25.807000,0 days 00:42:29.845000,0 days 00:43:09.260000,0 days 00:43:35.067000,279.0,251.0,247.0,315.0,False,SOFT,26.0,False,Mercedes,0 days 00:41:59.842000,2018-07-08 13:47:59.853,1,3.0,False,,False,True
0 days 00:45:09.687000,HAM,44,0 days 00:01:34.620000,24.0,1.0,,,0 days 00:00:30.140000,0 days 00:00:38.668000,0 days 00:00:25.812000,0 days 00:44:05.207000,0 days 00:44:43.875000,0 days 00:45:09.687000,292.0,254.0,248.0,305.0,False,SOFT,27.0,False,Mercedes,0 days 00:43:35.067000,2018-07-08 13:49:35.078,1,3.0,False,,False,True
0 days 00:46:43.603000,HAM,44,0 days 00:01:33.916000,25.0,1.0,,0 days 00:46:37.656000,0 days 00:00:30.141000,0 days 00:00:38.542000,0 days 00:00:25.233000,0 days 00:45:39.828000,0 days 00:46:18.370000,0 days 00:46:43.603000,295.0,253.0,,308.0,False,SOFT,28.0,False,Mercedes,0 days 00:45:09.687000,2018-07-08 13:51:09.698,1,3.0,False,,False,False
