Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:45.777000,LEC,16,0 days 00:01:27.230000,1.0,1.0,,,,0 days 00:00:33.673000,0 days 00:00:21.386000,,0 days 01:03:24.412000,0 days 01:03:45.865000,239.0,280.0,247.0,305.0,False,MEDIUM,1.0,True,Ferrari,0 days 01:02:18.241000,2023-10-29 20:03:18.322,12,2.0,False,,False,False
0 days 01:05:09.757000,LEC,16,0 days 00:01:23.980000,2.0,1.0,,,0 days 00:00:29.402000,0 days 00:00:32.946000,0 days 00:00:21.632000,0 days 01:04:15.179000,0 days 01:04:48.125000,0 days 01:05:09.757000,281.0,279.0,244.0,315.0,True,MEDIUM,2.0,True,Ferrari,0 days 01:03:45.777000,2023-10-29 20:04:45.858,1,2.0,False,,False,True
0 days 01:06:33.714000,LEC,16,0 days 00:01:23.957000,3.0,1.0,,,0 days 00:00:29.395000,0 days 00:00:32.823000,0 days 00:00:21.739000,0 days 01:05:39.152000,0 days 01:06:11.975000,0 days 01:06:33.714000,289.0,277.0,246.0,323.0,True,MEDIUM,3.0,True,Ferrari,0 days 01:05:09.757000,2023-10-29 20:06:09.838,1,2.0,False,,False,True
0 days 01:07:57.529000,LEC,16,0 days 00:01:23.815000,4.0,1.0,,,0 days 00:00:29.391000,0 days 00:00:32.947000,0 days 00:00:21.477000,0 days 01:07:03.105000,0 days 01:07:36.052000,0 days 01:07:57.529000,287.0,279.0,245.0,326.0,True,MEDIUM,4.0,True,Ferrari,0 days 01:06:33.714000,2023-10-29 20:07:33.795,1,2.0,False,,False,True
0 days 01:09:42.268000,LEC,16,0 days 00:01:44.739000,5.0,1.0,,,0 days 00:00:40.849000,0 days 00:00:39.361000,0 days 00:00:24.529000,0 days 01:08:38.378000,0 days 01:09:17.739000,0 days 01:09:42.268000,225.0,171.0,245.0,233.0,False,MEDIUM,5.0,True,Ferrari,0 days 01:07:57.529000,2023-10-29 20:08:57.610,167,2.0,False,,False,False
0 days 01:11:05.651000,LEC,16,0 days 00:01:23.383000,6.0,1.0,,,0 days 00:00:29.241000,0 days 00:00:32.593000,0 days 00:00:21.549000,0 days 01:10:11.509000,0 days 01:10:44.102000,0 days 01:11:05.651000,289.0,279.0,244.0,321.0,True,MEDIUM,6.0,True,Ferrari,0 days 01:09:42.268000,2023-10-29 20:10:42.349,1,2.0,False,,False,True
0 days 01:12:29.140000,LEC,16,0 days 00:01:23.489000,7.0,1.0,,,0 days 00:00:29.165000,0 days 00:00:32.653000,0 days 00:00:21.671000,0 days 01:11:34.816000,0 days 01:12:07.469000,0 days 01:12:29.140000,286.0,278.0,243.0,325.0,False,MEDIUM,7.0,True,Ferrari,0 days 01:11:05.651000,2023-10-29 20:12:05.732,1,2.0,False,,False,True
0 days 01:13:52.464000,LEC,16,0 days 00:01:23.324000,8.0,1.0,,,0 days 00:00:29.053000,0 days 00:00:32.736000,0 days 00:00:21.535000,0 days 01:12:58.193000,0 days 01:13:30.929000,0 days 01:13:52.464000,285.0,278.0,243.0,327.0,True,MEDIUM,8.0,True,Ferrari,0 days 01:12:29.140000,2023-10-29 20:13:29.221,12,2.0,False,,False,True
0 days 01:15:16.137000,LEC,16,0 days 00:01:23.673000,9.0,1.0,,,0 days 00:00:29.225000,0 days 00:00:32.696000,0 days 00:00:21.752000,0 days 01:14:21.689000,0 days 01:14:54.385000,0 days 01:15:16.137000,,279.0,243.0,326.0,False,MEDIUM,9.0,True,Ferrari,0 days 01:13:52.464000,2023-10-29 20:14:52.545,1,2.0,False,,False,True
0 days 01:16:39.859000,LEC,16,0 days 00:01:23.722000,10.0,1.0,,,0 days 00:00:29.227000,0 days 00:00:32.757000,0 days 00:00:21.738000,0 days 01:15:45.364000,0 days 01:16:18.121000,0 days 01:16:39.859000,288.0,278.0,243.0,325.0,False,MEDIUM,10.0,True,Ferrari,0 days 01:15:16.137000,2023-10-29 20:16:16.218,1,2.0,False,,False,True
