,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad
0,0,1.0,-72358,38434,33924,0,1.0,1,2.0,0,0,0,0.0,0,0,1,0,1,0,0,0,1,0,0
1,91117,2.0,18577,38919,33621,1,2.0,1,2.0,0,0,0,30372.333333333332,0,0,1,0,1,0,0,0,1,0,0
2,90500,3.0,18298,38407,33795,1,3.0,1,2.0,0,0,0,30166.666666666668,0,0,1,0,1,0,0,0,1,0,0
3,90884,4.0,18451,38912,33521,0,4.0,1,2.0,0,0,0,30294.666666666668,0,0,1,0,1,0,0,0,1,0,0
4,90459,5.0,18459,38584,33416,1,5.0,1,2.0,0,0,0,30153.0,0,0,1,0,1,0,0,0,1,0,0
5,90544,6.0,18393,38789,33362,0,6.0,1,2.0,0,0,0,30181.333333333332,0,0,1,0,1,0,0,0,1,0,0
6,90373,7.0,18335,38704,33334,1,7.0,1,2.0,0,0,0,30124.333333333332,0,0,1,0,1,0,0,0,1,0,0
7,90631,8.0,18321,38892,33418,0,8.0,1,2.0,0,0,0,30210.333333333332,0,0,1,0,1,0,0,0,1,0,0
8,90431,9.0,18348,38810,33273,0,9.0,1,2.0,0,0,0,30143.666666666668,0,0,1,0,1,0,0,0,1,0,0
9,90609,10.0,18418,38773,33418,0,10.0,1,2.0,1,0,0,30203.0,0,0,1,0,1,0,0,0,1,0,0
10,90613,11.0,18334,38725,33554,0,11.0,1,2.0,0,0,0,30204.333333333332,0,0,1,0,1,0,0,0,1,0,0
11,90584,12.0,18364,38850,33370,0,12.0,1,2.0,0,0,0,30194.666666666668,0,0,1,0,1,0,0,0,1,0,0
12,90817,13.0,18363,38996,33458,0,13.0,1,2.0,0,0,0,30272.333333333332,0,0,1,0,1,0,0,0,1,0,0
13,90571,14.0,18339,38754,33478,0,14.0,1,2.0,0,0,0,30190.333333333332,0,0,1,0,1,0,0,0,1,0,0
14,90618,15.0,18300,38830,33488,0,15.0,1,2.0,0,0,0,30206.0,0,0,1,0,1,0,0,0,1,0,0
15,90711,16.0,18280,38862,33569,0,16.0,1,2.0,0,0,0,30237.0,0,0,1,0,1,0,0,0,1,0,0
16,92468,17.0,18312,38936,35220,0,17.0,1,1.0,0,1,0,30822.666666666668,1,0,0,0,1,0,0,0,1,0,0
17,110342,18.0,39127,38465,32750,0,1.0,1,5.0,0,0,1,36780.666666666664,0,1,0,0,0,1,0,0,1,0,0
18,89908,19.0,18153,38519,33236,1,2.0,1,5.0,0,0,0,29969.333333333332,0,0,1,0,0,1,0,0,1,0,0
19,90073,20.0,18248,38489,33336,0,3.0,1,5.0,0,0,0,30024.333333333332,0,0,1,0,0,1,0,0,1,0,0
20,89724,21.0,18176,38279,33269,1,4.0,1,4.0,0,0,0,29908.0,1,0,0,0,0,1,0,0,0,1,0
21,89704,22.0,18236,38393,33075,1,5.0,1,3.0,0,0,0,29901.333333333332,1,0,0,0,0,1,0,0,0,1,0
22,89847,23.0,18289,38525,33033,0,6.0,1,2.0,0,0,0,29949.0,1,0,0,0,0,1,0,0,0,1,0
23,89577,24.0,18236,38349,32992,1,7.0,1,2.0,0,0,0,29859.0,0,0,1,0,0,1,0,0,0,1,0
24,89707,25.0,18271,38483,32953,0,8.0,1,2.0,0,0,0,29902.333333333332,0,0,1,0,0,1,0,0,0,1,0
25,89655,26.0,18297,38481,32877,0,9.0,1,2.0,0,0,0,29885.0,0,0,1,0,0,1,0,0,0,1,0
26,89210,27.0,18109,38277,32824,1,10.0,1,2.0,0,0,0,29736.666666666668,0,0,1,0,0,1,0,0,0,1,0
27,89556,28.0,18187,38496,32873,0,11.0,1,2.0,1,0,0,29852.0,0,0,1,0,0,1,0,0,0,1,0
28,89556,29.0,18217,38440,32899,0,12.0,1,2.0,1,0,0,29852.0,0,0,1,0,0,1,0,0,0,1,0
29,89428,30.0,18208,38354,32866,0,13.0,1,2.0,0,0,0,29809.333333333332,0,0,1,0,0,1,0,0,0,1,0
30,89554,31.0,18226,38420,32908,0,14.0,1,2.0,0,0,0,29851.333333333332,0,0,1,0,0,1,0,0,0,1,0
31,89815,32.0,18321,38547,32947,0,15.0,1,2.0,0,0,0,29938.333333333332,0,0,1,0,0,1,0,0,0,1,0
32,89693,33.0,18227,38346,33120,0,16.0,1,2.0,0,0,0,29897.666666666668,0,0,1,0,0,1,0,0,0,1,0
33,89447,34.0,18165,38346,32936,0,17.0,1,2.0,0,0,0,29815.666666666668,0,0,1,0,0,1,0,0,0,1,0
34,91443,35.0,18215,38446,34782,0,18.0,1,2.0,0,1,0,30481.0,0,0,1,0,0,1,0,0,0,1,0
35,108820,36.0,38094,38292,32433,0,1.0,1,6.0,0,0,1,36273.0,0,1,0,0,0,1,0,0,0,1,0
36,89035,37.0,18024,37737,33274,1,2.0,1,4.0,0,0,0,29678.333333333332,1,0,0,0,0,1,0,0,0,1,0
37,88736,38.0,17972,37832,32932,1,3.0,1,3.0,0,0,0,29578.666666666668,1,0,0,0,0,1,0,0,0,1,0
38,88759,39.0,17896,38310,32552,0,4.0,1,3.0,0,0,0,29586.0,0,0,1,0,0,1,0,0,0,1,0
39,88546,40.0,17891,38162,32493,1,5.0,1,3.0,0,0,0,29515.333333333332,0,0,1,0,0,1,0,0,0,0,1
40,88466,41.0,17887,38164,32415,1,6.0,1,3.0,0,0,0,29488.666666666668,0,0,1,0,0,1,0,0,0,0,1
41,88277,42.0,17856,38027,32394,1,7.0,1,3.0,0,0,0,29425.666666666668,0,0,1,0,0,1,0,0,0,0,1
42,88211,43.0,17867,37992,32351,1,8.0,1,2.0,0,0,0,29403.333333333332,1,0,0,0,0,1,0,0,0,0,1
43,88199,44.0,17789,37990,32420,1,9.0,1,2.0,0,0,0,29399.666666666668,0,0,1,0,0,1,0,0,0,0,1
44,88395,45.0,17737,38230,32427,0,10.0,1,2.0,0,0,0,29464.666666666668,0,0,1,0,0,1,0,0,0,0,1
45,88446,46.0,17785,38211,32450,0,11.0,1,2.0,0,0,0,29482.0,0,0,1,0,0,1,0,0,0,0,1
46,88221,47.0,17824,38033,32363,0,12.0,1,2.0,0,0,0,29406.666666666668,0,0,1,0,0,1,0,0,0,0,1
47,88419,48.0,17771,38092,32555,0,13.0,1,2.0,0,0,0,29472.666666666668,0,0,1,0,0,1,0,0,0,0,1
48,88396,49.0,17784,38064,32548,0,14.0,1,2.0,0,0,0,29465.333333333332,0,0,1,0,0,1,0,0,0,0,1
49,88258,50.0,17758,37958,32542,0,15.0,1,2.0,0,0,0,29419.333333333332,0,0,1,0,0,1,0,0,0,0,1
50,88695,51.0,17840,38136,32719,0,16.0,1,2.0,0,0,0,29565.0,0,0,1,0,0,1,0,0,0,0,1
