antecedents,consequents,support,confidence,lift,leverage
"frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})","frozenset({'MediumFuelLoad_MediumFuelLoad_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'MediumFuelLoad_MediumFuelLoad_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'MediumFuelLoad_MediumFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'MediumFuelLoad_MediumFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'MediumFuelLoad_MediumFuelLoad_Low'})",0.5,1.0,2.0,0.25
"frozenset({'MediumFuelLoad_MediumFuelLoad_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector3Time_Sector3Time_Low'})","frozenset({'LowFuelLoad_LowFuelLoad_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'LowFuelLoad_LowFuelLoad_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'LowFuelLoad_LowFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})",0.5,1.0,2.0,0.25
"frozenset({'LowFuelLoad_LowFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.5,1.0,2.0,0.25
