antecedents,consequents,support,confidence,lift,leverage
"frozenset({'Sector3Time_Sector3Time_Low', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'PositionGained_PositionGained_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'PositionGained_PositionGained_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'PositionLost_PositionLost_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'PositionLost_PositionLost_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'PositionUnchanged_PositionUnchanged_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'PositionUnchanged_PositionUnchanged_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'HighFuelLoad_HighFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'HighFuelLoad_HighFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'MediumFuelLoad_MediumFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'MediumFuelLoad_MediumFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'LowFuelLoad_LowFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'LowFuelLoad_LowFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Soft_Soft_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Soft_Soft_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Medium_Medium_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Medium_Medium_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Hard_Hard_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector3Time_Sector3Time_Low', 'Hard_Hard_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Intermediate_Intermediate_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Intermediate_Intermediate_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Wet_Wet_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector3Time_Sector3Time_Low', 'Wet_Wet_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'Sector2Time_Sector2Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'PositionGained_PositionGained_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'PositionGained_PositionGained_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'PositionLost_PositionLost_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'PositionLost_PositionLost_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'PositionUnchanged_PositionUnchanged_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'PositionUnchanged_PositionUnchanged_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'HighFuelLoad_HighFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'HighFuelLoad_HighFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'MediumFuelLoad_MediumFuelLoad_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector3Time_Sector3Time_Low', 'MediumFuelLoad_MediumFuelLoad_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'LowFuelLoad_LowFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'LowFuelLoad_LowFuelLoad_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'Soft_Soft_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Soft_Soft_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'Medium_Medium_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Medium_Medium_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'Sector3Time_Sector3Time_Low', 'Hard_Hard_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector3Time_Sector3Time_Low', 'Hard_Hard_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'Intermediate_Intermediate_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Intermediate_Intermediate_Low', 'Sector3Time_Sector3Time_Low'})","frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})",0.25,1.0,4.0,0.1875
"frozenset({'Sector1Time_Sector1Time_High', 'AvgSectorTime_AvgSectorTime_Low'})","frozenset({'Wet_Wet_Low', 'Sector3Time_Sector3Time_Low'})",0.25,1.0,4.0,0.1875
