Unnamed: 0,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad,driver_1,driver_2,race_bit_0,race_bit_1,race_bit_2,race_bit_3,race_bit_4
31,75911,32.0,20961,24246,30704,0,6.0,0,2.0,0,0,0,25303.666666666668,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
32,75909,33.0,20974,24289,30646,0,7.0,0,1.0,0,0,0,25303.0,1,0,0,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
33,75849,34.0,20912,24249,30688,0,8.0,0,1.0,0,0,0,25283.0,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
34,76267,35.0,21101,24394,30772,0,9.0,0,1.0,0,0,0,25422.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
35,75904,36.0,21018,24293,30593,0,10.0,0,1.0,0,0,0,25301.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
36,75724,37.0,21000,24132,30592,0,11.0,0,1.0,0,0,0,25241.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
37,75807,38.0,20960,24146,30701,0,12.0,0,1.0,0,0,0,25269.0,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
38,76114,39.0,21192,24297,30625,0,13.0,0,1.0,0,0,0,25371.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
39,75450,40.0,20901,24080,30469,0,14.0,0,1.0,0,0,0,25150.0,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
40,75208,41.0,20817,24005,30386,1,15.0,0,1.0,0,0,0,25069.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
41,75428,42.0,20926,24115,30387,0,16.0,0,1.0,0,0,0,25142.666666666668,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
42,75478,43.0,21029,24128,30321,0,17.0,0,1.0,0,0,0,25159.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
43,75283,44.0,20864,24109,30310,0,18.0,0,1.0,0,0,0,25094.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
44,75463,45.0,21038,24100,30325,0,19.0,0,1.0,0,0,0,25154.33333333333,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
45,75036,46.0,20888,24002,30146,1,20.0,0,1.0,0,0,0,25012.0,0,0,1,0,0,1,0,0,0,1,0,1.0,0.0,0,0,1,1,1
46,75343,47.0,20970,24103,30270,0,21.0,0,1.0,0,0,0,25114.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
47,77255,48.0,22638,24311,30306,0,22.0,0,1.0,0,0,0,25751.666666666668,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
48,75664,49.0,21077,24332,30255,0,23.0,0,1.0,0,0,0,25221.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
49,75577,50.0,20904,24258,30415,0,24.0,0,1.0,0,0,0,25192.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
50,75821,51.0,21206,24303,30312,0,25.0,0,1.0,0,0,0,25273.666666666668,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
51,74903,52.0,20832,23840,30231,1,26.0,0,1.0,0,0,0,24967.666666666668,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
52,75034,53.0,20875,23959,30200,0,27.0,0,1.0,0,0,0,25011.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
53,75572,54.0,21084,24214,30274,0,28.0,0,1.0,0,0,0,25190.666666666668,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
54,75405,55.0,21177,23972,30256,0,29.0,0,1.0,0,0,0,25135.0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
55,75020,56.0,20795,24032,30193,0,30.0,0,1.0,0,0,0,25006.666666666668,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
56,74875,57.0,20951,24039,29885,1,31.0,0,1.0,0,0,0,24958.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
57,74919,58.0,20750,23926,30243,0,32.0,0,1.0,0,0,0,24973.0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
58,75450,59.0,21113,24105,30232,0,33.0,0,1.0,0,0,0,25150.0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
59,75192,60.0,20754,24127,30311,0,34.0,0,1.0,0,0,0,25064.0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
60,75508,61.0,20921,24315,30272,0,35.0,0,1.0,0,0,0,25169.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
61,75021,62.0,20799,23860,30362,0,36.0,0,1.0,0,0,0,25007.0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
62,75373,63.0,20956,24068,30349,0,37.0,0,1.0,0,0,0,25124.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
63,75642,64.0,21094,24141,30407,0,38.0,0,1.0,0,0,0,25214.0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
64,75419,65.0,20991,23985,30443,0,39.0,0,1.0,0,0,0,25139.666666666668,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
65,75106,66.0,20949,23993,30164,0,40.0,0,1.0,0,0,0,25035.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
66,75180,67.0,21010,24075,30095,0,41.0,0,1.0,0,0,0,25060.0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
67,75196,68.0,20890,23989,30317,0,42.0,0,1.0,0,0,0,25065.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
68,75640,69.0,21025,24547,30068,0,43.0,0,1.0,0,0,0,25213.33333333333,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
69,75399,70.0,20834,24186,30379,0,44.0,0,1.0,0,0,0,25133.0,0,0,1,0,0,1,0,0,0,0,1,1.0,0.0,0,0,1,1,1
0,93798,1.0,33573,28150,32075,0,1.0,1,17.0,0,0,0,31266.0,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
1,81060,2.0,23030,26163,31867,1,2.0,1,16.0,0,0,0,27020.0,1,0,0,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
2,78808,3.0,22003,25393,31412,1,3.0,1,15.0,0,0,0,26269.33333333333,1,0,0,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
3,79227,4.0,22325,25438,31464,0,4.0,1,14.0,0,0,0,26409.0,1,0,0,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
4,79067,5.0,21969,25439,31659,0,5.0,1,14.0,0,0,0,26355.666666666668,0,0,1,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
5,97155,6.0,22205,25597,49353,0,6.0,1,19.0,0,1,0,32385.0,0,1,0,0,1,0,0,0,1,0,0,0.0,1.0,0,0,1,1,1
6,80887,7.0,24038,25319,31530,0,1.0,1,19.0,0,0,1,26962.33333333333,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
7,78589,8.0,21830,25330,31429,1,2.0,1,18.0,0,0,0,26196.33333333333,1,0,0,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
8,78786,9.0,21945,25359,31482,0,3.0,1,16.0,0,0,0,26262.0,1,0,0,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
9,78573,10.0,21844,25180,31549,1,4.0,1,16.0,0,0,0,26191.0,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
10,78485,11.0,21956,25175,31354,1,5.0,1,16.0,0,0,0,26161.666666666668,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
11,78486,12.0,21850,25198,31438,0,6.0,1,16.0,0,0,0,26162.0,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
12,78335,13.0,21879,25163,31293,1,7.0,1,16.0,0,0,0,26111.666666666668,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
13,78039,14.0,21819,24935,31285,1,8.0,1,16.0,0,0,0,26013.0,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
14,78292,15.0,21934,25351,31007,0,9.0,1,15.0,0,0,0,26097.33333333333,1,0,0,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
15,78757,16.0,21967,25261,31529,0,10.0,1,15.0,0,0,0,26252.33333333333,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
16,78232,17.0,21884,25142,31206,0,11.0,1,15.0,0,0,0,26077.33333333333,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
17,77724,18.0,21689,24941,31094,1,12.0,1,15.0,0,0,0,25908.0,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
18,77820,19.0,21697,24832,31291,0,13.0,1,15.0,0,0,0,25940.0,0,0,1,0,0,1,0,0,1,0,0,0.0,1.0,0,0,1,1,1
