Unnamed: 0,LapTime,LapNumber,Sector1Time,Sector2Time,Sector3Time,IsPersonalBest,TyreLife,FreshTyre,Position,Deleted,If_PitIn,If_PitOut,AvgSectorTime,PositionGained,PositionLost,PositionUnchanged,Soft,Medium,Hard,Intermediate,Wet,HighFuelLoad,MediumFuelLoad,LowFuelLoad,driver,race_number
36,101578,37.0,26334,30260,44984,0,20.0,1,9.0,0,0,0,33859.333333333336,0,0,1,0,0,1,0,0,0,0,1,SAI,7
37,99884,38.0,25598,30018,44268,0,21.0,1,9.0,0,0,0,33294.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
38,99491,39.0,25185,29937,44369,0,22.0,1,9.0,0,0,0,33163.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
39,99786,40.0,25299,30071,44416,0,23.0,1,9.0,0,0,0,33262.0,0,0,1,0,0,1,0,0,0,0,1,SAI,7
40,99572,41.0,25187,29944,44441,0,24.0,1,9.0,0,0,0,33190.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
41,99194,42.0,25042,30026,44126,0,25.0,1,9.0,0,0,0,33064.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
42,98966,43.0,25098,29859,44009,0,26.0,1,9.0,0,0,0,32988.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
43,100766,44.0,25474,30395,44897,0,27.0,1,10.0,0,0,0,33588.666666666664,0,1,0,0,0,1,0,0,0,0,1,SAI,7
44,99338,45.0,25261,29839,44238,0,28.0,1,10.0,0,0,0,33112.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
45,99345,46.0,25148,30097,44100,0,29.0,1,10.0,0,0,0,33115.0,0,0,1,0,0,1,0,0,0,0,1,SAI,7
46,99045,47.0,25045,29947,44053,0,30.0,1,10.0,0,0,0,33015.0,0,0,1,0,0,1,0,0,0,0,1,SAI,7
47,100585,48.0,25417,30588,44580,0,31.0,1,11.0,0,0,0,33528.333333333336,0,1,0,0,0,1,0,0,0,0,1,SAI,7
48,99899,49.0,25359,30036,44504,0,32.0,1,11.0,0,0,0,33299.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
49,99595,50.0,25238,30068,44289,0,33.0,1,11.0,0,0,0,33198.333333333336,0,0,1,0,0,1,0,0,0,0,1,SAI,7
50,99512,51.0,25460,30099,43953,0,34.0,1,11.0,0,0,0,33170.666666666664,0,0,1,0,0,1,0,0,0,0,1,SAI,7
51,99612,52.0,25304,30085,44223,0,35.0,1,11.0,0,0,0,33204.0,0,0,1,0,0,1,0,0,0,0,1,SAI,7
52,100926,53.0,25495,30591,44840,0,36.0,1,11.0,0,0,0,33642.0,0,0,1,0,0,1,0,0,0,0,1,SAI,7
0,110607,1.0,34305,30860,45442,0,4.0,0,7.0,0,0,0,36869.0,0,0,1,0,1,0,0,0,1,0,0,LEC,7
1,101749,2.0,26228,30208,45313,1,5.0,0,7.0,0,0,0,33916.333333333336,0,0,1,0,1,0,0,0,1,0,0,LEC,7
2,100847,3.0,25722,30174,44951,1,6.0,0,7.0,0,0,0,33615.666666666664,0,0,1,0,1,0,0,0,1,0,0,LEC,7
3,101116,4.0,25679,30102,45335,0,7.0,0,7.0,0,0,0,33705.333333333336,0,0,1,0,1,0,0,0,1,0,0,LEC,7
4,100393,5.0,25540,29954,44899,1,8.0,0,7.0,0,0,0,33464.333333333336,0,0,1,0,1,0,0,0,1,0,0,LEC,7
5,100017,6.0,25243,29806,44968,1,9.0,0,7.0,0,0,0,33339.0,0,0,1,0,1,0,0,0,1,0,0,LEC,7
6,100773,7.0,25393,30288,45092,0,10.0,0,7.0,0,0,0,33591.0,0,0,1,0,1,0,0,0,1,0,0,LEC,7
7,101148,8.0,25724,30319,45105,0,11.0,0,7.0,0,0,0,33716.0,0,0,1,0,1,0,0,0,1,0,0,LEC,7
8,100515,9.0,25514,30070,44931,0,12.0,0,7.0,0,0,0,33505.0,0,0,1,0,1,0,0,0,1,0,0,LEC,7
9,100735,10.0,25564,30004,45167,0,13.0,0,7.0,0,0,0,33578.333333333336,0,0,1,0,1,0,0,0,1,0,0,LEC,7
10,101078,11.0,25676,30020,45382,0,14.0,0,7.0,0,0,0,33692.666666666664,0,0,1,0,1,0,0,0,1,0,0,LEC,7
11,101217,12.0,25751,30056,45410,0,15.0,0,7.0,0,0,0,33739.0,0,0,1,0,1,0,0,0,1,0,0,LEC,7
12,101278,13.0,25744,30130,45404,0,16.0,0,7.0,0,0,0,33759.333333333336,0,0,1,0,1,0,0,0,1,0,0,LEC,7
13,122349,14.0,26130,30766,65453,0,17.0,0,18.0,0,1,0,40783.0,0,1,0,0,1,0,0,0,1,0,0,LEC,7
14,102242,15.0,28731,29230,44281,0,1.0,1,17.0,0,0,1,34080.666666666664,1,0,0,0,0,1,0,0,1,0,0,LEC,7
15,99038,16.0,25248,30027,43763,1,2.0,1,17.0,0,0,0,33012.666666666664,0,0,1,0,0,1,0,0,1,0,0,LEC,7
16,99286,17.0,25219,29870,44197,0,3.0,1,14.0,0,0,0,33095.333333333336,1,0,0,0,0,1,0,0,1,0,0,LEC,7
17,99511,18.0,25468,29582,44461,0,4.0,1,11.0,0,0,0,33170.333333333336,1,0,0,0,0,1,0,0,1,0,0,LEC,7
18,99538,19.0,25189,29974,44375,0,5.0,1,11.0,0,0,0,33179.333333333336,0,0,1,0,0,1,0,0,0,1,0,LEC,7
19,99771,20.0,25197,29997,44577,0,6.0,1,11.0,0,0,0,33257.0,0,0,1,0,0,1,0,0,0,1,0,LEC,7
20,100259,21.0,25408,30230,44621,0,7.0,1,11.0,0,0,0,33419.666666666664,0,0,1,0,0,1,0,0,0,1,0,LEC,7
21,100024,22.0,25522,29742,44760,0,8.0,1,10.0,0,0,0,33341.333333333336,1,0,0,0,0,1,0,0,0,1,0,LEC,7
22,100061,23.0,25372,29932,44757,0,9.0,1,10.0,0,0,0,33353.666666666664,0,0,1,0,0,1,0,0,0,1,0,LEC,7
23,100147,24.0,25791,29591,44765,0,10.0,1,8.0,0,0,0,33382.333333333336,1,0,0,0,0,1,0,0,0,1,0,LEC,7
24,100324,25.0,25453,30002,44869,0,11.0,1,8.0,0,0,0,33441.333333333336,0,0,1,0,0,1,0,0,0,1,0,LEC,7
25,100997,26.0,26136,29782,45079,0,12.0,1,7.0,0,0,0,33665.666666666664,1,0,0,0,0,1,0,0,0,1,0,LEC,7
26,100458,27.0,25648,30125,44685,0,13.0,1,7.0,0,0,0,33486.0,0,0,1,0,0,1,0,0,0,1,0,LEC,7
27,101931,28.0,25743,30665,45523,0,14.0,1,8.0,0,0,0,33977.0,0,1,0,0,0,1,0,0,0,1,0,LEC,7
28,102017,29.0,26505,29940,45572,0,15.0,1,10.0,0,0,0,34005.666666666664,0,1,0,0,0,1,0,0,0,1,0,LEC,7
29,102483,30.0,27030,30333,45120,0,16.0,1,11.0,0,0,0,34161.0,0,1,0,0,0,1,0,0,0,1,0,LEC,7
30,101553,31.0,25661,30439,45453,0,17.0,1,12.0,0,0,0,33851.0,0,1,0,0,0,1,0,0,0,1,0,LEC,7
31,100960,32.0,25725,30230,45005,0,18.0,1,12.0,0,0,0,33653.333333333336,0,0,1,0,0,1,0,0,0,1,0,LEC,7
32,100012,33.0,25437,30080,44495,0,19.0,1,12.0,0,0,0,33337.333333333336,0,0,1,0,0,1,0,0,0,1,0,LEC,7
33,99967,34.0,25473,30116,44378,0,20.0,1,11.0,0,0,0,33322.333333333336,1,0,0,0,0,1,0,0,0,1,0,LEC,7
34,100273,35.0,25488,30012,44773,0,21.0,1,11.0,0,0,0,33424.333333333336,0,0,1,0,0,1,0,0,0,1,0,LEC,7
35,99358,36.0,25252,29858,44248,0,22.0,1,11.0,0,0,0,33119.333333333336,0,0,1,0,0,1,0,0,0,0,1,LEC,7
36,99526,37.0,25118,29939,44469,0,23.0,1,10.0,0,0,0,33175.333333333336,1,0,0,0,0,1,0,0,0,0,1,LEC,7
37,119965,38.0,25235,30143,64587,0,24.0,1,16.0,0,1,0,39988.333333333336,0,1,0,0,0,1,0,0,0,0,1,LEC,7
38,101981,39.0,28648,29632,43701,0,4.0,0,16.0,0,0,1,33993.666666666664,0,0,1,0,1,0,0,0,0,0,1,LEC,7
39,97947,40.0,24648,29450,43849,1,5.0,0,16.0,0,0,0,32649.0,0,0,1,0,1,0,0,0,0,0,1,LEC,7
40,97796,41.0,24869,29447,43480,1,6.0,0,16.0,0,0,0,32598.666666666668,0,0,1,0,1,0,0,0,0,0,1,LEC,7
41,97898,42.0,24752,29490,43656,0,7.0,0,16.0,0,0,0,32632.666666666668,0,0,1,0,1,0,0,0,0,0,1,LEC,7
42,97681,43.0,24913,29349,43419,1,8.0,0,16.0,0,0,0,32560.33333333333,0,0,1,0,1,0,0,0,0,0,1,LEC,7
43,98246,44.0,24822,29615,43809,0,9.0,0,16.0,0,0,0,32748.666666666668,0,0,1,0,1,0,0,0,0,0,1,LEC,7
44,101125,45.0,25388,31717,44020,0,10.0,0,16.0,0,0,0,33708.333333333336,0,0,1,0,1,0,0,0,0,0,1,LEC,7
45,99088,46.0,25308,29583,44197,0,11.0,0,16.0,0,0,0,33029.333333333336,0,0,1,0,1,0,0,0,0,0,1,LEC,7
46,103009,47.0,28378,30087,44544,0,12.0,0,16.0,0,0,0,34336.333333333336,0,0,1,0,1,0,0,0,0,0,1,LEC,7
47,99585,48.0,25229,29827,44529,0,13.0,0,16.0,0,0,0,33195.0,0,0,1,0,1,0,0,0,0,0,1,LEC,7
48,99825,49.0,25428,29825,44572,0,14.0,0,16.0,0,0,0,33275.0,0,0,1,0,1,0,0,0,0,0,1,LEC,7
49,100328,50.0,25564,30247,44517,0,15.0,0,16.0,0,0,0,33442.666666666664,0,0,1,0,1,0,0,0,0,0,1,LEC,7
50,99142,51.0,25372,29765,44005,0,16.0,0,16.0,0,0,0,33047.333333333336,0,0,1,0,1,0,0,0,0,0,1,LEC,7
51,99470,52.0,25361,30030,44079,0,17.0,0,16.0,0,0,0,33156.666666666664,0,0,1,0,1,0,0,0,0,0,1,LEC,7
0,104856,1.0,43025,31637,30194,0,1.0,1,13.0,0,0,0,34952.0,0,0,1,0,0,1,0,0,1,0,0,SAI,21
1,97854,2.0,37089,30687,30078,1,2.0,1,13.0,0,0,0,32618.0,0,0,1,0,0,1,0,0,1,0,0,SAI,21
2,96003,3.0,36254,30187,29562,1,3.0,1,13.0,0,0,0,32001.0,0,0,1,0,0,1,0,0,1,0,0,SAI,21
3,95619,4.0,35641,30286,29692,1,4.0,1,12.0,0,0,0,31873.0,1,0,0,0,0,1,0,0,1,0,0,SAI,21
4,95145,5.0,35485,30115,29545,1,5.0,1,12.0,0,0,0,31715.0,0,0,1,0,0,1,0,0,1,0,0,SAI,21
5,95029,6.0,35637,29974,29418,1,6.0,1,12.0,0,0,0,31676.33333333333,0,0,1,0,0,1,0,0,1,0,0,SAI,21
6,96543,7.0,37007,30122,29414,0,7.0,1,12.0,0,0,0,32181.0,0,0,1,0,0,1,0,0,1,0,0,SAI,21
7,95355,8.0,35590,30119,29646,0,8.0,1,11.0,0,0,0,31785.0,1,0,0,0,0,1,0,0,1,0,0,SAI,21
8,94932,9.0,35386,29782,29764,1,9.0,1,11.0,0,0,0,31644.0,0,0,1,0,0,1,0,0,1,0,0,SAI,21
9,126526,10.0,51839,34346,40341,0,10.0,1,10.0,0,0,0,42175.333333333336,1,0,0,0,0,1,0,0,1,0,0,SAI,21
10,0,11.0,46541,49681,64760,0,11.0,1,9.0,0,0,0,53660.66666666666,1,0,0,0,0,1,0,0,1,0,0,SAI,21
11,0,12.0,54778,53444,57960,0,12.0,1,9.0,0,0,0,55394.0,0,0,1,0,0,1,0,0,1,0,0,SAI,21
12,0,13.0,55260,52004,73655,0,13.0,1,9.0,0,1,0,60306.333333333336,0,0,1,0,0,1,0,0,1,0,0,SAI,21
13,0,14.0,-135847,58268,77579,0,4.0,0,9.0,0,0,1,0.0,0,0,1,0,1,0,0,0,1,0,0,SAI,21
14,0,15.0,88095,56862,63747,0,5.0,0,9.0,0,1,0,69568.0,0,0,1,0,1,0,0,0,1,0,0,SAI,21
15,0,16.0,-153800,64394,89406,0,6.0,0,9.0,0,0,1,0.0,0,0,1,0,1,0,0,0,1,0,0,SAI,21
16,142900,17.0,81751,31080,30069,0,7.0,0,11.0,0,0,0,47633.333333333336,0,1,0,0,1,0,0,0,1,0,0,SAI,21
17,96253,18.0,36482,30324,29447,0,8.0,0,11.0,0,0,0,32084.33333333333,0,0,1,0,1,0,0,0,0,1,0,SAI,21
18,95356,19.0,35932,30060,29364,0,9.0,0,11.0,0,0,0,31785.33333333333,0,0,1,0,1,0,0,0,0,1,0,SAI,21
19,94916,20.0,35781,29817,29318,1,10.0,0,11.0,0,0,0,31638.666666666668,0,0,1,0,1,0,0,0,0,1,0,SAI,21
20,94493,21.0,35387,29598,29508,1,11.0,0,11.0,0,0,0,31497.666666666668,0,0,1,0,1,0,0,0,0,1,0,SAI,21
21,93969,22.0,35356,29748,28865,1,12.0,0,11.0,0,0,0,31323.0,0,0,1,0,1,0,0,0,0,1,0,SAI,21
22,114738,23.0,37020,37475,40243,0,13.0,0,9.0,0,0,0,38246.0,1,0,0,0,1,0,0,0,0,1,0,SAI,21
23,111082,24.0,50160,31535,29387,0,14.0,0,8.0,0,0,0,37027.333333333336,1,0,0,0,1,0,0,0,0,1,0,SAI,21
24,93311,25.0,34674,29492,29145,1,15.0,0,8.0,0,0,0,31103.666666666668,0,0,1,0,1,0,0,0,0,1,0,SAI,21
25,93014,26.0,34326,29579,29109,1,16.0,0,8.0,0,0,0,31004.666666666668,0,0,1,0,1,0,0,0,0,1,0,SAI,21
26,108286,27.0,34341,29570,44375,0,17.0,0,8.0,0,0,0,36095.333333333336,0,0,1,0,1,0,0,0,0,1,0,SAI,21
27,93043,28.0,34687,29193,29163,0,18.0,0,8.0,0,0,0,31014.33333333333,0,0,1,0,1,0,0,0,0,1,0,SAI,21
28,118045,29.0,34153,45036,38856,0,19.0,0,8.0,0,0,0,39348.333333333336,0,0,1,0,1,0,0,0,0,1,0,SAI,21
29,128735,30.0,46448,40702,41586,0,20.0,0,8.0,0,0,0,42912.0,0,0,1,0,1,0,0,0,0,1,0,SAI,21
30,128169,31.0,42918,43009,42242,0,21.0,0,8.0,0,0,0,42723.0,0,0,1,0,1,0,0,0,0,1,0,SAI,21
31,118478,32.0,41080,42136,35262,0,22.0,0,8.0,0,0,0,39492.66666666666,0,0,1,0,1,0,0,0,0,1,0,SAI,21
32,92814,33.0,34406,29433,28975,1,23.0,0,8.0,0,0,0,30938.0,0,0,1,0,1,0,0,0,0,1,0,SAI,21
33,92292,34.0,33935,29361,28996,1,24.0,0,8.0,0,0,0,30764.0,0,0,1,0,1,0,0,0,0,0,1,SAI,21
34,106186,35.0,34212,29360,42614,0,25.0,0,8.0,0,0,0,35395.333333333336,0,0,1,0,1,0,0,0,0,0,1,SAI,21
35,93549,36.0,35237,29226,29086,0,26.0,0,8.0,0,0,0,31183.0,0,0,1,0,1,0,0,0,0,0,1,SAI,21
36,91851,37.0,34008,28996,28847,1,27.0,0,8.0,0,0,0,30617.0,0,0,1,0,1,0,0,0,0,0,1,SAI,21
37,92194,38.0,33723,29451,29020,0,28.0,0,7.0,0,0,0,30731.33333333333,1,0,0,0,1,0,0,0,0,0,1,SAI,21
38,92209,39.0,33926,29320,28963,0,29.0,0,7.0,0,0,0,30736.33333333333,0,0,1,0,1,0,0,0,0,0,1,SAI,21
39,92348,40.0,34017,29278,29053,0,30.0,0,7.0,0,0,0,30782.666666666668,0,0,1,0,1,0,0,0,0,0,1,SAI,21
40,92086,41.0,33842,29261,28983,0,31.0,0,7.0,0,0,0,30695.33333333333,0,0,1,0,1,0,0,0,0,0,1,SAI,21
41,92287,42.0,33878,29420,28989,0,32.0,0,7.0,0,0,0,30762.33333333333,0,0,1,0,1,0,0,0,0,0,1,SAI,21
