Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:11.503000,HAM,44,0 days 00:01:37.881000,1.0,1.0,,,,0 days 00:00:42.567000,0 days 00:00:18.279000,,0 days 00:34:53.251000,0 days 00:35:11.796000,273.0,308.0,264.0,299.0,False,SOFT,4.0,False,Mercedes,0 days 00:33:33.441000,2019-10-13 05:13:33.764,1,4.0,False,,False,False
0 days 00:36:46.905000,HAM,44,0 days 00:01:35.402000,2.0,1.0,,,0 days 00:00:34.491000,0 days 00:00:42.471000,0 days 00:00:18.440000,0 days 00:35:45.991000,0 days 00:36:28.462000,0 days 00:36:46.902000,272.0,310.0,262.0,294.0,True,SOFT,5.0,False,Mercedes,0 days 00:35:11.503000,2019-10-13 05:15:11.826,1,4.0,False,,False,True
0 days 00:38:21.795000,HAM,44,0 days 00:01:34.890000,3.0,1.0,,,0 days 00:00:34.127000,0 days 00:00:42.499000,0 days 00:00:18.264000,0 days 00:37:21.029000,0 days 00:38:03.528000,0 days 00:38:21.792000,270.0,307.0,263.0,302.0,True,SOFT,6.0,False,Mercedes,0 days 00:36:46.905000,2019-10-13 05:16:47.228,1,3.0,False,,False,True
0 days 00:39:56.360000,HAM,44,0 days 00:01:34.565000,4.0,1.0,,,0 days 00:00:33.622000,0 days 00:00:42.540000,0 days 00:00:18.403000,0 days 00:38:55.414000,0 days 00:39:37.954000,0 days 00:39:56.357000,266.0,303.0,258.0,297.0,True,SOFT,7.0,False,Mercedes,0 days 00:38:21.795000,2019-10-13 05:18:22.118,12,3.0,False,,False,True
0 days 00:41:30.982000,HAM,44,0 days 00:01:34.622000,5.0,1.0,,,0 days 00:00:33.718000,0 days 00:00:42.635000,0 days 00:00:18.269000,0 days 00:40:30.075000,0 days 00:41:12.710000,0 days 00:41:30.979000,268.0,303.0,258.0,295.0,False,SOFT,8.0,False,Mercedes,0 days 00:39:56.360000,2019-10-13 05:19:56.683,1,3.0,False,,False,True
0 days 00:43:05.446000,HAM,44,0 days 00:01:34.464000,6.0,1.0,,,0 days 00:00:33.736000,0 days 00:00:42.501000,0 days 00:00:18.227000,0 days 00:42:04.715000,0 days 00:42:47.216000,0 days 00:43:05.443000,269.0,304.0,259.0,300.0,True,SOFT,9.0,False,Mercedes,0 days 00:41:30.982000,2019-10-13 05:21:31.305,1,3.0,False,,False,True
0 days 00:44:40.076000,HAM,44,0 days 00:01:34.630000,7.0,1.0,,,0 days 00:00:33.714000,0 days 00:00:42.583000,0 days 00:00:18.333000,0 days 00:43:39.157000,0 days 00:44:21.740000,0 days 00:44:40.073000,270.0,305.0,260.0,299.0,False,SOFT,10.0,False,Mercedes,0 days 00:43:05.446000,2019-10-13 05:23:05.769,1,3.0,False,,False,True
0 days 00:46:14.743000,HAM,44,0 days 00:01:34.667000,8.0,1.0,,,0 days 00:00:33.743000,0 days 00:00:42.630000,0 days 00:00:18.294000,0 days 00:45:13.816000,0 days 00:45:56.446000,0 days 00:46:14.740000,271.0,302.0,259.0,299.0,False,SOFT,11.0,False,Mercedes,0 days 00:44:40.076000,2019-10-13 05:24:40.399,1,3.0,False,,False,True
0 days 00:47:49.378000,HAM,44,0 days 00:01:34.635000,9.0,1.0,,,0 days 00:00:33.682000,0 days 00:00:42.585000,0 days 00:00:18.368000,0 days 00:46:48.422000,0 days 00:47:31.007000,0 days 00:47:49.375000,270.0,305.0,258.0,299.0,False,SOFT,12.0,False,Mercedes,0 days 00:46:14.743000,2019-10-13 05:26:15.066,1,3.0,False,,False,True
0 days 00:49:24.234000,HAM,44,0 days 00:01:34.856000,10.0,1.0,,,0 days 00:00:33.880000,0 days 00:00:42.653000,0 days 00:00:18.323000,0 days 00:48:23.255000,0 days 00:49:05.908000,0 days 00:49:24.231000,269.0,304.0,259.0,300.0,False,SOFT,13.0,False,Mercedes,0 days 00:47:49.378000,2019-10-13 05:27:49.701,1,3.0,False,,False,True
