Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:03:44.036000,HAM,44,0 days 00:01:38.801000,1.0,1.0,,,,0 days 00:00:29.606000,0 days 00:00:33.122000,,0 days 01:03:10.990000,0 days 01:03:44.068000,230.0,266.0,275.0,205.0,False,MEDIUM,1.0,True,Mercedes,0 days 01:02:04.960000,2023-08-27 13:03:05.334,1,11.0,False,,False,False
0 days 01:05:38.386000,HAM,44,0 days 00:01:54.350000,2.0,1.0,,,0 days 00:00:39.117000,0 days 00:00:39.717000,0 days 00:00:35.516000,0 days 01:04:23.160000,0 days 01:05:02.877000,0 days 01:05:38.393000,192.0,191.0,262.0,186.0,True,MEDIUM,2.0,True,Mercedes,0 days 01:03:44.036000,2023-08-27 13:04:44.410,1,12.0,False,,False,True
0 days 01:07:37.401000,HAM,44,0 days 00:01:59.015000,3.0,1.0,,0 days 01:07:35.923000,0 days 00:00:39.040000,0 days 00:00:40.203000,0 days 00:00:39.772000,0 days 01:06:17.433000,0 days 01:06:57.636000,0 days 01:07:37.408000,188.0,206.0,,192.0,False,MEDIUM,3.0,True,Mercedes,0 days 01:05:38.386000,2023-08-27 13:06:38.760,1,20.0,False,,False,False
0 days 01:09:20.699000,HAM,44,0 days 00:01:43.298000,4.0,2.0,0 days 01:07:56.110000,,0 days 00:00:48.490000,0 days 00:00:28.695000,0 days 00:00:26.113000,0 days 01:08:25.898000,0 days 01:08:54.593000,0 days 01:09:20.706000,274.0,258.0,284.0,,False,INTERMEDIATE,1.0,True,Mercedes,0 days 01:07:37.401000,2023-08-27 13:08:37.775,1,19.0,False,,False,False
0 days 01:10:46.747000,HAM,44,0 days 00:01:26.048000,5.0,2.0,,,0 days 00:00:28.363000,0 days 00:00:30.537000,0 days 00:00:27.148000,0 days 01:09:49.069000,0 days 01:10:19.606000,0 days 01:10:46.754000,275.0,259.0,280.0,269.0,True,INTERMEDIATE,2.0,True,Mercedes,0 days 01:09:20.699000,2023-08-27 13:10:21.073,1,13.0,False,,False,True
0 days 01:12:11.073000,HAM,44,0 days 00:01:24.326000,6.0,2.0,,,0 days 00:00:28.064000,0 days 00:00:30.181000,0 days 00:00:26.081000,0 days 01:11:14.818000,0 days 01:11:44.999000,0 days 01:12:11.080000,268.0,258.0,283.0,,True,INTERMEDIATE,3.0,True,Mercedes,0 days 01:10:46.747000,2023-08-27 13:11:47.121,1,13.0,False,,False,True
0 days 01:13:35.916000,HAM,44,0 days 00:01:24.843000,7.0,2.0,,,0 days 00:00:28.697000,0 days 00:00:30.480000,0 days 00:00:25.666000,0 days 01:12:39.777000,0 days 01:13:10.257000,0 days 01:13:35.923000,266.0,258.0,284.0,271.0,False,INTERMEDIATE,4.0,True,Mercedes,0 days 01:12:11.073000,2023-08-27 13:13:11.447,1,13.0,False,,False,True
0 days 01:15:00.207000,HAM,44,0 days 00:01:24.291000,8.0,2.0,,,0 days 00:00:28.981000,0 days 00:00:29.890000,0 days 00:00:25.420000,0 days 01:14:04.904000,0 days 01:14:34.794000,0 days 01:15:00.214000,,258.0,286.0,285.0,True,INTERMEDIATE,5.0,True,Mercedes,0 days 01:13:35.916000,2023-08-27 13:14:36.290,1,13.0,False,,False,True
0 days 01:16:28.650000,HAM,44,0 days 00:01:28.443000,9.0,2.0,,0 days 01:16:26.820000,0 days 00:00:29.172000,0 days 00:00:30.621000,0 days 00:00:28.650000,0 days 01:15:29.386000,0 days 01:16:00.007000,0 days 01:16:28.657000,260.0,259.0,,274.0,False,INTERMEDIATE,6.0,True,Mercedes,0 days 01:15:00.207000,2023-08-27 13:16:00.581,1,14.0,False,,False,False
0 days 01:18:08.388000,HAM,44,0 days 00:01:39.738000,10.0,3.0,0 days 01:16:46.897000,,0 days 00:00:45.831000,0 days 00:00:28.877000,0 days 00:00:25.030000,0 days 01:17:14.488000,0 days 01:17:43.365000,0 days 01:18:08.395000,279.0,260.0,288.0,,False,SOFT,1.0,True,Mercedes,0 days 01:16:28.650000,2023-08-27 13:17:29.024,1,18.0,False,,False,False
