Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:09:20.572000,HAM,44,0 days 00:01:43.446000,1.0,,,,,0 days 00:00:44.041000,0 days 00:00:24.238000,,0 days 00:08:56.361000,0 days 00:09:20.744000,229.0,236.0,287.0,239.0,False,nan,,True,Mercedes,0 days 00:07:36.924000,,21,10.0,False,,False,False
0 days 00:11:09.790000,HAM,44,0 days 00:01:49.218000,2.0,1.0,,,0 days 00:00:31.826000,0 days 00:00:42.091000,0 days 00:00:35.301000,0 days 00:09:52.398000,0 days 00:10:34.489000,0 days 00:11:09.790000,240.0,248.0,173.0,310.0,True,SOFT,4.0,False,Mercedes,0 days 00:09:20.572000,,126,9.0,False,,False,False
0 days 00:13:18.312000,HAM,44,0 days 00:02:08.522000,3.0,1.0,,,0 days 00:00:40.777000,0 days 00:00:53.391000,0 days 00:00:34.354000,0 days 00:11:50.567000,0 days 00:12:43.958000,0 days 00:13:18.312000,182.0,167.0,153.0,166.0,False,SOFT,5.0,False,Mercedes,0 days 00:11:09.790000,,6,9.0,False,,False,False
0 days 00:15:11.948000,HAM,44,0 days 00:01:53.636000,4.0,1.0,,,0 days 00:00:40.026000,0 days 00:00:49.207000,0 days 00:00:24.403000,0 days 00:13:58.338000,0 days 00:14:47.545000,0 days 00:15:11.948000,191.0,233.0,305.0,147.0,False,SOFT,6.0,False,Mercedes,0 days 00:13:18.312000,,671,9.0,False,,False,False
0 days 00:16:48.880000,HAM,44,0 days 00:01:36.932000,5.0,1.0,,,0 days 00:00:30.206000,0 days 00:00:42.346000,0 days 00:00:24.380000,0 days 00:15:42.154000,0 days 00:16:24.500000,0 days 00:16:48.880000,240.0,253.0,291.0,333.0,True,SOFT,7.0,False,Mercedes,0 days 00:15:11.948000,,12,6.0,False,,False,True
0 days 00:18:24.793000,HAM,44,0 days 00:01:35.913000,6.0,1.0,,,0 days 00:00:30.398000,0 days 00:00:41.723000,0 days 00:00:23.792000,0 days 00:17:19.278000,0 days 00:18:01.001000,0 days 00:18:24.793000,233.0,253.0,287.0,310.0,True,SOFT,8.0,False,Mercedes,0 days 00:16:48.880000,,21,5.0,False,,False,True
0 days 00:20:01.344000,HAM,44,0 days 00:01:36.551000,7.0,1.0,,,0 days 00:00:30.682000,0 days 00:00:41.959000,0 days 00:00:23.910000,0 days 00:18:55.475000,0 days 00:19:37.434000,0 days 00:20:01.344000,236.0,253.0,291.0,302.0,False,SOFT,9.0,False,Mercedes,0 days 00:18:24.793000,,1,5.0,False,,False,True
0 days 00:21:36.780000,HAM,44,0 days 00:01:35.436000,8.0,1.0,,,0 days 00:00:30.214000,0 days 00:00:41.649000,0 days 00:00:23.573000,0 days 00:20:31.558000,0 days 00:21:13.207000,0 days 00:21:36.780000,,249.0,280.0,326.0,True,SOFT,10.0,False,Mercedes,0 days 00:20:01.344000,,1,4.0,False,,False,True
0 days 00:23:12.641000,HAM,44,0 days 00:01:35.861000,9.0,1.0,,,0 days 00:00:30.410000,0 days 00:00:41.776000,0 days 00:00:23.675000,0 days 00:22:07.190000,0 days 00:22:48.966000,0 days 00:23:12.641000,238.0,250.0,279.0,304.0,False,SOFT,11.0,False,Mercedes,0 days 00:21:36.780000,,1,4.0,False,,False,True
0 days 00:24:48.894000,HAM,44,0 days 00:01:36.253000,10.0,1.0,,,0 days 00:00:30.532000,0 days 00:00:42.109000,0 days 00:00:23.612000,0 days 00:23:43.173000,0 days 00:24:25.282000,0 days 00:24:48.894000,,253.0,281.0,,False,SOFT,12.0,False,Mercedes,0 days 00:23:12.641000,,1,4.0,False,,False,True
