Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:35:14.269000,GAS,10,0 days 00:01:49.061000,1.0,1.0,,,,0 days 00:00:30.795000,0 days 00:00:44.047000,,0 days 00:34:30.290000,0 days 00:35:14.469000,108.0,276.0,286.0,316.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:33:25.039000,2019-06-23 13:13:25.245,1,8.0,False,,False,False
0 days 00:36:53.651000,GAS,10,0 days 00:01:39.382000,2.0,1.0,,,0 days 00:00:25.476000,0 days 00:00:30.380000,0 days 00:00:43.526000,0 days 00:35:39.713000,0 days 00:36:10.093000,0 days 00:36:53.619000,110.0,275.0,286.0,303.0,True,SOFT,5.0,False,Red Bull Racing,0 days 00:35:14.269000,2019-06-23 13:15:14.475,1,8.0,False,,False,True
0 days 00:38:32.517000,GAS,10,0 days 00:01:38.866000,3.0,1.0,,,0 days 00:00:25.501000,0 days 00:00:29.863000,0 days 00:00:43.502000,0 days 00:37:19.120000,0 days 00:37:48.983000,0 days 00:38:32.485000,109.0,276.0,298.0,318.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:36:53.651000,2019-06-23 13:16:53.857,1,8.0,False,,False,True
0 days 00:40:11.118000,GAS,10,0 days 00:01:38.601000,4.0,1.0,,,0 days 00:00:25.194000,0 days 00:00:29.844000,0 days 00:00:43.563000,0 days 00:38:57.679000,0 days 00:39:27.523000,0 days 00:40:11.086000,107.0,275.0,297.0,321.0,True,SOFT,7.0,False,Red Bull Racing,0 days 00:38:32.517000,2019-06-23 13:18:32.723,1,8.0,False,,False,True
0 days 00:41:50.223000,GAS,10,0 days 00:01:39.105000,5.0,1.0,,,0 days 00:00:24.987000,0 days 00:00:30.205000,0 days 00:00:43.913000,0 days 00:40:36.073000,0 days 00:41:06.278000,0 days 00:41:50.191000,110.0,274.0,295.0,302.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:40:11.118000,2019-06-23 13:20:11.324,1,8.0,False,,False,True
0 days 00:43:28.400000,GAS,10,0 days 00:01:38.177000,6.0,1.0,,,0 days 00:00:24.879000,0 days 00:00:30.164000,0 days 00:00:43.134000,0 days 00:42:15.070000,0 days 00:42:45.234000,0 days 00:43:28.368000,,274.0,286.0,298.0,True,SOFT,9.0,False,Red Bull Racing,0 days 00:41:50.223000,2019-06-23 13:21:50.429,1,8.0,False,,False,True
0 days 00:45:06.530000,GAS,10,0 days 00:01:38.130000,7.0,1.0,,,0 days 00:00:25.028000,0 days 00:00:29.835000,0 days 00:00:43.267000,0 days 00:43:53.396000,0 days 00:44:23.231000,0 days 00:45:06.498000,112.0,274.0,285.0,302.0,True,SOFT,10.0,False,Red Bull Racing,0 days 00:43:28.400000,2019-06-23 13:23:28.606,1,8.0,False,,False,True
0 days 00:46:44.512000,GAS,10,0 days 00:01:37.982000,8.0,1.0,,,0 days 00:00:24.981000,0 days 00:00:29.880000,0 days 00:00:43.121000,0 days 00:45:31.479000,0 days 00:46:01.359000,0 days 00:46:44.480000,111.0,274.0,284.0,304.0,True,SOFT,11.0,False,Red Bull Racing,0 days 00:45:06.530000,2019-06-23 13:25:06.736,1,8.0,False,,False,True
0 days 00:48:22.060000,GAS,10,0 days 00:01:37.548000,9.0,1.0,,,0 days 00:00:24.768000,0 days 00:00:29.837000,0 days 00:00:42.943000,0 days 00:47:09.248000,0 days 00:47:39.085000,0 days 00:48:22.028000,112.0,273.0,285.0,303.0,True,SOFT,12.0,False,Red Bull Racing,0 days 00:46:44.512000,2019-06-23 13:26:44.718,1,8.0,False,,False,True
0 days 00:49:59.708000,GAS,10,0 days 00:01:37.648000,10.0,1.0,,,0 days 00:00:24.833000,0 days 00:00:29.680000,0 days 00:00:43.135000,0 days 00:48:46.861000,0 days 00:49:16.541000,0 days 00:49:59.676000,110.0,275.0,285.0,301.0,False,SOFT,13.0,False,Red Bull Racing,0 days 00:48:22.060000,2019-06-23 13:28:22.266,1,8.0,False,,False,True
0 days 00:51:37.598000,GAS,10,0 days 00:01:37.890000,11.0,1.0,,,0 days 00:00:24.820000,0 days 00:00:29.700000,0 days 00:00:43.370000,0 days 00:50:24.496000,0 days 00:50:54.196000,0 days 00:51:37.566000,,274.0,285.0,303.0,False,SOFT,14.0,False,Red Bull Racing,0 days 00:49:59.708000,2019-06-23 13:29:59.914,1,8.0,False,,False,True
